Entity,Code,Year,Life expectancy difference (f-m) - Type: period - Sex: both - Age: 0
China,CHN,1950,3.4927025
China,CHN,2000,4.4664993
China,CHN,2021,5.6912003
France,FRA,1850,1.3699989
France,FRA,1900,3.6100006
France,FRA,1950,5.7523994
France,FRA,2000,7.562599
France,FRA,2021,6.0599976
India,IND,1950,-1.7986984
India,IND,2000,1.8848
India,IND,2021,3.1300964
Italy,ITA,1900,0.22999954
Italy,ITA,1950,3.4861984
Italy,ITA,2000,5.9633026
Italy,ITA,2021,4.576599
Japan,JPN,1950,3.3185997
Japan,JPN,2000,6.837799
Japan,JPN,2021,5.929497
Nigeria,NGA,1950,2.528801
Nigeria,NGA,2000,2.233101
Nigeria,NGA,2021,0.7854996
Sweden,SWE,1751,3.0600014
Sweden,SWE,1800,2.039999
Sweden,SWE,1850,5.1200027
Sweden,SWE,1900,2.8300018
Sweden,SWE,1950,2.5973053
Sweden,SWE,2000,4.6360016
Sweden,SWE,2021,3.832199
United States,USA,1950,5.6152954
United States,USA,2000,5.310402
United States,USA,2021,5.9381027
