Entity,Code,Year,Human capital index (HCI) (scale 0-1),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Asia,,2020,,,4663086623.0,
Bahrain,BHR,2020,0.652472,47847.84,1477478.0,
Bangladesh,BGD,2020,0.46403643,5591.374,167420944.0,
Burundi,BDI,2020,0.38617063,711.3553,12220229.0,
Chad,TCD,2020,0.29978278,1489.1868,16644707.0,
China,CHN,2020,0.65310264,16296.779,1424929792.0,
Dominican Republic,DOM,2020,0.5027669,16768.426,10999668.0,
Egypt,EGY,2020,0.49437466,11380.847,107465128.0,
Eswatini,SWZ,2020,0.3725008,8290.409,1180663.0,
Ethiopia,ETH,2020,0.38278484,2253.2358,117190920.0,
Europe,,2020,,,747462669.0,
Germany,DEU,2020,0.75116247,51840.33,83328992.0,
India,IND,2020,0.4935109,6114.0317,1396387072.0,
Indonesia,IDN,2020,0.54003847,11515.74,271857984.0,
Iran,IRN,2020,0.5934045,14432.362,87290192.0,
Iraq,IRQ,2020,0.4076433,8919.798,42556988.0,
Ireland,IRL,2020,0.792599,91099.75,4946123.0,
Italy,ITA,2020,0.7278197,39065.28,59500576.0,
Japan,JPN,2020,0.80471426,39935.465,125244760.0,
Kenya,KEN,2020,0.5467525,4498.383,51985780.0,
Kyrgyzstan,KGZ,2020,0.5966171,4726.197,6424880.0,
Malawi,MWI,2020,0.41324064,1489.6014,19377058.0,
Malaysia,MYS,2020,0.61097616,25830.973,33199988.0,
Mali,MLI,2020,0.31826958,2123.8281,21224042.0,
Mexico,MEX,2020,0.61294985,18327.99,125998296.0,
Mozambique,MOZ,2020,0.36211666,1232.9856,31178242.0,
Namibia,NAM,2020,0.44643754,9048.184,2489099.0,
Nepal,NPL,2020,0.5046018,3761.8027,29348626.0,
Netherlands,NLD,2020,0.789915,54275.004,17434562.0,
Niger,NER,2020,0.31568518,1214.5465,24333644.0,
Nigeria,NGA,2020,0.36060983,4865.087,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Pakistan,PAK,2020,0.40607002,5004.352,227196736.0,
Philippines,PHL,2020,0.5159621,7773.2603,112190984.0,
Portugal,PRT,2020,0.76894957,32011.324,10298186.0,
Qatar,QAT,2020,0.6377716,89019.07,2760390.0,
Russia,RUS,2020,0.6814196,26583.797,145617328.0,
Saudi Arabia,SAU,2020,0.5763905,42891.688,35997108.0,
Senegal,SEN,2020,0.4201108,3383.8884,16436120.0,
Singapore,SGP,2020,0.8791257,94505.63,5909874.0,
South Africa,ZAF,2020,0.4254534,12815.909,58801928.0,
South America,,2020,,,431530105.0,
Sudan,SDN,2020,0.3774452,3874.8003,44440484.0,
Togo,TGO,2020,0.43186805,2066.9707,8442583.0,
Turkey,TUR,2020,0.64926183,28473.205,84135432.0,
Ukraine,UKR,2020,0.6313871,12407.79,43909664.0,
United States,USA,2020,0.70176435,60167.855,335942016.0,
Uzbekistan,UZB,2020,0.6228057,7344.22,33526662.0,
Vanuatu,VUT,2020,0.45465854,2836.8135,311694.0,
Vietnam,VNM,2020,0.68996453,10450.622,96648680.0,
Zimbabwe,ZWE,2020,0.4668931,1990.3195,15669663.0,
