Entity,Code,Year,"Police Officers per 1,000 people"
Argentina,ARG,2015,9.032981
Germany,DEU,1995,4.0330667
Germany,DEU,2000,3.9192994
Germany,DEU,2005,4.0094547
Germany,DEU,2010,3.979141
India,IND,1975,1.96877
India,IND,1980,1.9114927
India,IND,1990,2.296667
India,IND,1995,2.01383
India,IND,2005,2.1734922
India,IND,2010,2.2837782
Russia,RUS,2010,6.459216
Russia,RUS,2015,5.768707
South Africa,ZAF,1975,1.1399224
South Africa,ZAF,1980,1.1582536
South Africa,ZAF,1995,4.632924
South Africa,ZAF,2000,3.7884321
United States,USA,1973,4.038266
United States,USA,1975,2.6224341
United States,USA,1980,3.1711123
United States,USA,1990,4.3066545
United States,USA,1995,3.4764266
United States,USA,2005,3.277862
United States,USA,2010,3.2790232
United States,USA,2015,2.9758642
