Entity,Code,Year,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",Fertility rate - Sex: all - Age: all - Variant: estimates,Population (historical estimates),Continent
Africa,,2021,,,1393676724.0,
Asia,,2021,,,4693332132.0,
Australia,AUS,2021,61.24,1.5962,25921094.0,
Belarus,BLR,2021,65.77,1.483,9578172.0,
Bolivia,BOL,2021,71.21,2.6178,12079474.0,
Croatia,HRV,2021,45.79,1.4518,4060139.0,
Ethiopia,ETH,2021,57.6,4.1591,120283024.0,
Europe,,2021,,,746417727.0,
France,FRA,2021,52.2,1.79,64531448.0,
High-income countries,,2021,53.86028,1.5605,1219584303.0,
Iceland,ISL,2021,69.27,1.7329,370338.0,
Indonesia,IDN,2021,52.04,2.1746,273753184.0,
Iraq,IRQ,2021,10.77,3.4955,43533592.0,
Israel,ISR,2021,58.58,2.9764,8900057.0,
Italy,ITA,2021,40.11,1.2825,59240336.0,
Japan,JPN,2021,53.5,1.2974,124612528.0,
Kyrgyzstan,KGZ,2021,52.49,2.9912,6527742.0,
Mauritius,MUS,2021,38.17,1.4105,1298922.0,
Mexico,MEX,2021,43.62,1.8223,126705136.0,
Morocco,MAR,2021,20.9,2.328,37076588.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Oman,OMN,2021,34.97,2.6233,4520474.0,
Pakistan,PAK,2021,24.53,3.4698,231402112.0,
Palestine,PSE,2021,17.21,3.5044,5133393.0,
Panama,PAN,2021,46.71,2.3252,4351264.0,
Paraguay,PRY,2021,59.95,2.4689,6703802.0,
Peru,PER,2021,64.77,2.1917,33715464.0,
Philippines,PHL,2021,44.05,2.7476,113880336.0,
Poland,POL,2021,49.52,1.4587,38307724.0,
Romania,ROU,2021,41.02,1.748,19328558.0,
Rwanda,RWA,2021,52.59,3.8207,13461891.0,
San Marino,SMR,2021,87.59,1.1297,33772.0,
Singapore,SGP,2021,63.85,1.0243,5941063.0,
South Africa,ZAF,2021,49.56,2.374,59392256.0,
South America,,2021,,,434254167.0,
South Korea,KOR,2021,53.7,0.8799,51830136.0,
Thailand,THA,2021,59.23,1.3305,71601104.0,
Turkey,TUR,2021,32.82,1.8892,84775408.0,
Ukraine,UKR,2021,47.77,1.2507,43531424.0,
Vietnam,VNM,2021,68.2,1.9437,97468024.0,
