Entity,Code,Year,Sugar beet | 00000157 || Production | 005510 || tonnes
China,CHN,1961,796700.0
China,CHN,1970,2102800.0
China,CHN,1980,6305000.0
China,CHN,1990,14524513.0
China,CHN,2000,8073500.0
China,CHN,2010,9296200.0
China,CHN,2021,7850900.0
Russia,RUS,2000,14050869.0
Russia,RUS,2010,22255940.0
Russia,RUS,2021,41201668.0
United States,USA,1961,16263000.0
United States,USA,1970,22969008.0
United States,USA,1980,21320544.0
United States,USA,1990,24959008.0
United States,USA,2000,32541000.0
United States,USA,2010,29060756.0
United States,USA,2021,33339950.0
