Entity,Code,Year,"Deaths that are from all causes attributed to unsafe sanitation per 100,000 people, in both sexes aged all ages"
Central African Republic,CAF,1990,173.25485
Central African Republic,CAF,1995,157.46762
Central African Republic,CAF,2000,134.7215
Central African Republic,CAF,2005,116.413284
Central African Republic,CAF,2010,113.77161
Central African Republic,CAF,2015,114.41254
Central African Republic,CAF,2019,104.15967
Chad,TCD,1990,194.60316
Chad,TCD,1995,178.77405
Chad,TCD,2000,180.55211
Chad,TCD,2005,182.7167
Chad,TCD,2010,170.3914
Chad,TCD,2015,142.45395
Chad,TCD,2019,121.88481
Democratic Republic of Congo,COD,1990,61.123943
Democratic Republic of Congo,COD,1995,70.044815
Democratic Republic of Congo,COD,2000,92.23532
Democratic Republic of Congo,COD,2005,75.47863
Democratic Republic of Congo,COD,2010,62.195675
Democratic Republic of Congo,COD,2015,38.365105
Democratic Republic of Congo,COD,2019,23.561964
Niger,NER,1990,301.88602
Niger,NER,1995,274.36105
Niger,NER,2000,225.15498
Niger,NER,2005,184.17859
Niger,NER,2010,113.51217
Niger,NER,2015,97.08388
Niger,NER,2019,81.59455
