Entity,Code,Year,Earnings of tertiary-educated workers relative to the earnings of workers with upper-secondary education (OECD 2017)
Australia,AUS,2015,140.028
Belgium,BEL,2015,139.916
Chile,CHL,2015,236.713
Costa Rica,CRI,2015,215.10501
Czechia,CZE,2015,169.24701
Denmark,DNK,2015,130.862
Estonia,EST,2015,123.599
France,FRA,2015,154.43399
Ireland,IRL,2015,166.01001
Israel,ISR,2015,158.48199
Japan,JPN,2015,151.701
Lithuania,LTU,2015,179.30099
Luxembourg,LUX,2015,158.217
Mexico,MEX,2015,202.29901
Netherlands,NLD,2015,150.101
Norway,NOR,2015,127.693
Poland,POL,2015,159.58099
Portugal,PRT,2015,168.758
Slovenia,SVN,2015,170.51801
Sweden,SWE,2015,116.528
Switzerland,CHE,2015,150.634
Turkey,TUR,2015,166.757
