Entity,Code,Year,GDP,417484-annotations
East Asia (MPD),,1820,465649830000,
East Asia (MPD),,1850,410040570000,
East Asia (MPD),,1900,496515120000,
East Asia (MPD),,1950,751888400000,
East Asia (MPD),,2000,12113048000000,
East Asia (MPD),,2018,26432971000000,
Eastern Europe (MPD),,1820,74262130000,
Eastern Europe (MPD),,1850,115896080000,
Eastern Europe (MPD),,1900,525671100000,
Eastern Europe (MPD),,1950,1085765900000,
Eastern Europe (MPD),,2000,3649198600000,
Eastern Europe (MPD),,2018,8404875000000,
Latin America (MPD),,1820,19150666000,
Latin America (MPD),,1850,31863181000,
Latin America (MPD),,1900,106795240000,
Latin America (MPD),,1950,590090300000,
Latin America (MPD),,2000,5172214400000,
Latin America (MPD),,2018,8733149600000,
Middle East (MPD),,1820,34674400000,
Middle East (MPD),,1850,42000000000,
Middle East (MPD),,1900,72800000000,
Middle East (MPD),,1950,245867070000,
Middle East (MPD),,2000,3653298000000,
Middle East (MPD),,2018,9842624000000,
South and South-East Asia (MPD),,1820,237540660000,
South and South-East Asia (MPD),,1850,258917880000,
South and South-East Asia (MPD),,1900,364017030000,
South and South-East Asia (MPD),,1950,697432400000,
South and South-East Asia (MPD),,2000,6467509000000,
South and South-East Asia (MPD),,2018,18559032000000,
Sub-Saharan Africa (MPD),,1820,48000000000,
Sub-Saharan Africa (MPD),,1850,52000000000,
Sub-Saharan Africa (MPD),,1900,73100000000,
Sub-Saharan Africa (MPD),,1950,240162550000,
Sub-Saharan Africa (MPD),,2000,1304577000000,
Sub-Saharan Africa (MPD),,2018,3701549600000,
Western Europe (MPD),,1820,305375480000,
Western Europe (MPD),,1850,442801950000,
Western Europe (MPD),,1900,1098082200000,
Western Europe (MPD),,1950,2190432700000,
Western Europe (MPD),,2000,12600433000000,
Western Europe (MPD),,2018,16736345000000,
Western offshoots (MPD),,1820,28224012000,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,1850,92975220000,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,1900,668778500000,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,1950,2606838300000,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,2000,14906381000000,"United States, Canada, Australia and New Zealand"
Western offshoots (MPD),,2018,21219620000000,"United States, Canada, Australia and New Zealand"
