Entity,Code,Year,Patent applications per 1 million people - Field: All
China,CHN,2020,45.200123
China,CHN,2018,19.55444
China,CHN,2014,1.843069
China,CHN,2012,1.0295919
China,CHN,2016,5.659504
China,CHN,2010,0.5659434
Germany,DEU,2020,12.192636
Germany,DEU,2018,8.480434
Germany,DEU,2016,3.0122154
Germany,DEU,2014,0.95286
Germany,DEU,2012,0.67446953
Germany,DEU,2010,0.5533348
Portugal,PRT,2020,0.4855224
Portugal,PRT,2018,0.58309984
Portugal,PRT,2016,0.8710168
Portugal,PRT,2014,0.09607644
Portugal,PRT,2012,0.1900764
Portugal,PRT,2010,0.09444296
Spain,ESP,2018,0.83347505
Spain,ESP,2016,0.9682975
Spain,ESP,2014,0.66717535
Spain,ESP,2020,0.69673455
Spain,ESP,2012,0.55607736
Spain,ESP,2010,0.55826604
United Kingdom,GBR,2020,5.681524
United Kingdom,GBR,2018,6.05121
United Kingdom,GBR,2016,2.863444
United Kingdom,GBR,2014,1.0806888
United Kingdom,GBR,2012,0.75224817
United Kingdom,GBR,2010,0.3664752
United States,USA,2020,43.93913
United States,USA,2018,42.292404
United States,USA,2016,19.580685
United States,USA,2014,8.887261
United States,USA,2012,5.6718535
United States,USA,2010,4.3607802
