Entity,Code,Year,MPI (national) - Harmonized over time,Share of population multidimensionally poor (national) - Harmonized over time,Population,Continent
Africa,,2000,,,818952374.0,
Africa,,2021,,,1393676724.0,
Asia,,2000,,,3735089775.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2000,,,129193336.0,
Bangladesh,BGD,2021,,,169356240.0,
Cameroon,CMR,2000,,,15091598.0,
Cameroon,CMR,2021,,,27198632.0,
Central African Republic,CAF,2000,0.5734001,89.56631,3759174.0,
Central African Republic,CAF,2021,,,5457165.0,
Chad,TCD,2000,,,8259144.0,
Chad,TCD,2021,,,17179744.0,
China,CHN,2000,,,1264099072.0,
China,CHN,2021,,,1425893504.0,
Democratic Republic of Congo,COD,2000,,,48616328.0,
Democratic Republic of Congo,COD,2021,,,95894120.0,
Ethiopia,ETH,2000,,,67031872.0,
Ethiopia,ETH,2021,,,120283024.0,
Europe,,2000,,,727917165.0,
Europe,,2021,,,746417727.0,
Honduras,HND,2000,,,6656727.0,
Honduras,HND,2021,,,10278346.0,
India,IND,2000,,,1059633664.0,
India,IND,2021,,,1407563904.0,
Kenya,KEN,2000,,,30851604.0,
Kenya,KEN,2021,,,53005616.0,
Malawi,MWI,2000,,,11229380.0,
Malawi,MWI,2021,,,19889742.0,
Mozambique,MOZ,2000,,,17768510.0,
Mozambique,MOZ,2021,,,32077074.0,
Niger,NER,2000,,,11622673.0,
Niger,NER,2021,,,25252722.0,
North America,,2000,,,486364446.0,
North America,,2021,,,597123384.0,
Pakistan,PAK,2000,,,154369920.0,
Pakistan,PAK,2021,,,231402112.0,
Senegal,SEN,2000,,,9704291.0,
Senegal,SEN,2021,,,16876726.0,
Serbia,SRB,2000,,,7935023.0,
Serbia,SRB,2021,,,7296771.0,
South America,,2000,,,349634344.0,
South America,,2021,,,434254167.0,
Tanzania,TZA,2000,,,34463704.0,
Tanzania,TZA,2021,,,63588332.0,
Yemen,YEM,2000,,,18628704.0,
Yemen,YEM,2021,,,32981644.0,
