Entity,Code,Year,Fish and seafood | 00002960 || Production | 005511 || tonnes
Algeria,DZA,1961,30400.0
Algeria,DZA,1970,24230.0
Algeria,DZA,1980,48000.0
Algeria,DZA,1990,90600.0
Algeria,DZA,2000,113510.0
Algeria,DZA,2010,95220.0
Algeria,DZA,2020,104880.0
Angola,AGO,1961,246800.0
Angola,AGO,1970,374500.0
Angola,AGO,1980,85090.0
Angola,AGO,1990,133090.0
Angola,AGO,2000,239360.0
Angola,AGO,2010,310310.0
Angola,AGO,2020,411190.0
Brunei,BRN,1961,900.0
Brunei,BRN,1970,1500.0
Brunei,BRN,1980,2230.0
Brunei,BRN,1990,2350.0
Brunei,BRN,2000,2600.0
Liberia,LBR,1961,3700.0
Liberia,LBR,1970,8000.0
Liberia,LBR,1980,11790.0
Liberia,LBR,1990,6460.0
Liberia,LBR,2000,11540.0
Liberia,LBR,2010,11720.0
Liberia,LBR,2020,16820.0
Macao,MAC,1961,5800.0
Macao,MAC,1970,5900.0
Macao,MAC,1980,6620.0
Macao,MAC,1990,2580.0
Macao,MAC,2000,1500.0
Macao,MAC,2010,1500.0
Macao,MAC,2020,1500.0
Oceania,,1961,128730.0
Oceania,,1970,185920.0
Oceania,,1980,367680.0
Oceania,,1990,754310.0
Oceania,,2000,1056440.0
Oceania,,2010,1289100.0
Oceania,,2020,1572340.0
Oceania (FAO),,1961,128729.99
Oceania (FAO),,1970,185920.0
Oceania (FAO),,1980,367670.0
Oceania (FAO),,1990,754320.0
Oceania (FAO),,2000,1056440.0
Oceania (FAO),,2010,1289090.0
Oceania (FAO),,2020,1572350.0
Serbia,SRB,2010,13000.0
Serbia,SRB,2020,9350.0
World,OWID_WRL,1961,38803070.0
World,OWID_WRL,1970,64587350.0
World,OWID_WRL,1980,70873940.0
World,OWID_WRL,1990,96847704.0
World,OWID_WRL,2000,124331950.0
World,OWID_WRL,2010,143776060.0
World,OWID_WRL,2020,176592620.0
