Entity,Code,Year,Under-five mortality rate,GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2018,,,,1295265310.0,
Angola,AGO,2018,7.7968407,7771.442,,31273538.0,
Asia,,2018,,,,4588802751.0,
Azerbaijan,AZE,2018,2.1545339,16628.055,,10152524.0,
Bahrain,BHR,2018,0.7186386,39498.766,,1487346.0,
Bangladesh,BGD,2018,3.2196548,4099.253,,163683952.0,
Belarus,BLR,2018,0.33752257,18727.318,,9695573.0,
Brazil,BRA,2018,1.5156679,14033.565,,210166592.0,
Burundi,BDI,2018,5.908364,651.3589,,11493476.0,
Cambodia,KHM,2018,2.7833252,3628.561,,16025242.0,
Cameroon,CMR,2018,7.770692,2888.046,,25076752.0,
Canada,CAN,2018,0.52285033,44868.742,,37035260.0,
Chad,TCD,2018,11.801545,2046.3632,,15604213.0,
China,CHN,2018,0.8577589,13101.706,,1417069440.0,
Cuba,CUB,2018,0.5324784,8325.631,,11328243.0,
Democratic Republic of Congo,COD,2018,8.724299,859.3817,,87087352.0,
Egypt,EGY,2018,2.101623,11957.212,,103740768.0,
El Salvador,SLV,2018,1.3783772,8598.198,,6276340.0,
Equatorial Guinea,GNQ,2018,8.470867,28528.953,,1502102.0,
Estonia,EST,2018,0.24738023,27408.664,,1322146.0,
Eswatini,SWZ,2018,5.964403,8068.212,,1160430.0,
Ethiopia,ETH,2018,5.3241506,1838.4904,,111129440.0,
Europe,,2018,0.49491462,,,746577709.0,
Gabon,GAB,2018,4.4910727,17613.557,,2192013.0,
Germany,DEU,2018,0.38025025,46177.617,,82896696.0,
Ghana,GHA,2018,4.9070168,4267.067,,30870648.0,
Guatemala,GTM,2018,2.5437903,7402.1147,,16850176.0,
Honduras,HND,2018,1.8395945,5041.6353,,9792854.0,
India,IND,2018,3.6428986,6806.4985,,1369003264.0,
Indonesia,IDN,2018,2.4642334,11851.737,,267066848.0,
Italy,ITA,2018,0.3172807,34364.168,,59877432.0,
Japan,JPN,2018,0.2543676,38673.81,,126255872.0,
Kazakhstan,KAZ,2018,1.0257853,25307.555,,18538100.0,
Kenya,KEN,2018,4.0831833,3377.4705,,49953300.0,
Kuwait,KWT,2018,0.8825501,65520.74,,4317190.0,
Libya,LBY,2018,1.1900148,15013.3125,,6477791.0,
Madagascar,MDG,2018,6.5843406,1427.6003,,26846544.0,
Malawi,MWI,2018,4.7769613,1116.6403,,18367886.0,
Malaysia,MYS,2018,0.8013252,24842.355,,32399270.0,
Mali,MLI,2018,10.619731,1667.295,,19934304.0,
Mozambique,MOZ,2018,7.6328263,1132.7709,,29423882.0,
Namibia,NAM,2018,4.356271,9043.12,,2405682.0,
Nepal,NPL,2018,3.0632234,2727.4238,,28506718.0,
Nicaragua,NIC,2018,1.5817795,4952.477,,6572234.0,
Niger,NER,2018,11.766191,964.6601,,22577060.0,
Nigeria,NGA,2018,11.9566555,5237.662,,198387616.0,
North America,,2018,0.6416012,,,585864285.0,
North Korea,PRK,2018,1.82,1596.3517,,25638152.0,
Oceania,,2018,2.1409545,,,42540030.0,
Pakistan,PAK,2018,6.964348,5510.3965,,219731488.0,
Panama,PAN,2018,1.5354975,22637.148,,4165258.0,
Poland,POL,2018,0.4534611,27455.236,,38521464.0,
Qatar,QAT,2018,0.6485507,153764.17,,2766743.0,
Russia,RUS,2018,0.63308275,24668.908,,145652288.0,
Rwanda,RWA,2018,4.340338,1929.2852,,12531810.0,
Serbia,SRB,2018,0.5777029,14124.118,,7433825.0,
Singapore,SGP,2018,0.25412247,68402.34,,5814543.0,
South Africa,ZAF,2018,3.5085475,12165.795,,57339632.0,
South America,,2018,,,,424740741.0,
Sri Lanka,LKA,2018,0.7584399,11662.906,,21580712.0,
Syria,SYR,2018,2.3811839,3349.4597,,19333464.0,
Tanzania,TZA,2018,5.187678,2874.963,,58090444.0,
Trinidad and Tobago,TTO,2018,1.7911447,28549.408,,1504707.0,
Turkey,TUR,2018,1.0712221,19270.22,,82809304.0,
Turkmenistan,TKM,2018,4.317691,26318.365,,6065072.0,
Ukraine,UKR,2018,0.8681663,9813.363,,44446952.0,
United States,USA,2018,0.65311426,55334.74,,332140032.0,
Vietnam,VNM,2018,2.12525,6814.142,,94914328.0,
Zambia,ZMB,2018,6.4222727,3534.0337,,17835898.0,
