Entity,Code,Year,libdem_vdem_owid,Population (historical estimates),region
Africa,,2021,0.27653572,1393676724.0,World
Asia,,2021,0.24518368,4693332132.0,World
Bangladesh,BGD,2021,0.103,169356240.0,Asia
Brazil,BRA,2021,0.513,214326224.0,South America
Democratic Republic of Congo,COD,2021,0.15,95894120.0,Africa
Denmark,DNK,2021,0.885,5854246.0,Europe
Eritrea,ERI,2021,0.01,3620324.0,Africa
Ethiopia,ETH,2021,0.144,120283024.0,Africa
Europe,,2021,0.63592684,746417727.0,World
India,IND,2021,0.332,1407563904.0,Asia
Indonesia,IDN,2021,0.413,273753184.0,Asia
Japan,JPN,2021,0.739,124612528.0,Asia
Mexico,MEX,2021,0.371,126705136.0,North America
North America,,2021,0.4538,597123384.0,World
Oceania,,2021,0.5615,44492065.0,World
Pakistan,PAK,2021,0.266,231402112.0,Asia
Palestine,PSE,2021,,5133393.0,
Russia,RUS,2021,0.102,145102752.0,Europe
South America,,2021,0.51358336,434254167.0,World
United States,USA,2021,0.735,336997632.0,North America
World,OWID_WRL,2021,0.39056984,7909295104.0,World
