Entity,Code,Year,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2021,14.848,1516.3057,
Albania,ALB,2021,50.733,14518.906,
Algeria,DZA,2021,15.684,11039.806,
Angola,AGO,2021,73.968,5908.57,
Argentina,ARG,2021,50.01,21527.195,
Armenia,ARM,2021,42.663,14193.117,
Australia,AUS,2021,61.057,49774.34,
Austria,AUT,2021,55.514,54121.145,
Azerbaijan,AZE,2021,60.366,14431.661,
Bahamas,BHS,2021,65.627,30210.162,
Bahrain,BHR,2021,42.361,49387.418,
Bangladesh,BGD,2021,34.869,5911.013,
Barbados,BRB,2021,56.055,13754.803,
Belarus,BLR,2021,57.311,19751.203,
Belgium,BEL,2021,49.842,51739.54,
Belize,BLZ,2021,46.897,8762.623,
Benin,BEN,2021,69.334,3321.5522,
Bhutan,BTN,2021,51.625,10907.856,
Bolivia,BOL,2021,68.283,8052.1772,
Bosnia and Herzegovina,BIH,2021,32.257,15666.54,
Burkina Faso,BFA,2021,57.237,2179.789,
Burundi,BDI,2021,78.991,705.0304,
Central African Republic,CAF,2021,63.312,837.5047,
Chad,TCD,2021,46.914,1425.4945,
Chile,CHL,2021,44.172,25449.13,
Comoros,COM,2021,32.119,3228.5269,
Congo,COG,2021,65.062,3234.393,
Cote d'Ivoire,CIV,2021,45.92,5325.0303,
Croatia,HRV,2021,45.925,31635.824,
Cyprus,CYP,2021,56.648,41701.703,
Djibouti,DJI,2021,17.218,4913.2563,
East Timor,TLS,2021,60.987,5032.41,
El Salvador,SLV,2021,43.579,9086.047,
Ethiopia,ETH,2021,72.335,2319.0684,
Fiji,FJI,2021,37.701,10359.204,
Gabon,GAB,2021,39.117,13813.723,
Gambia,GMB,2021,48.917,2076.5664,
Ghana,GHA,2021,64.527,5435.238,
Guinea,GIN,2021,62.061,2640.3442,
Guyana,GUY,2021,40.304,21925.188,
Honduras,HND,2021,42.33,5572.177,
Hungary,HUN,2021,52.064,33593.152,
India,IND,2021,19.233,6592.042,
Iran,IRN,2021,14.354,15004.6875,
Iraq,IRQ,2021,11.078,8962.395,
Ireland,IRL,2021,56.526,102496.22,
Italy,ITA,2021,39.89,41929.43,
Jamaica,JAM,2021,56.095,9596.564,
Kenya,KEN,2021,70.984,4743.4863,
Kuwait,KWT,2021,47.428,,
Laos,LAO,2021,74.785,7846.975,
Lebanon,LBN,2021,20.75,12977.202,
Liberia,LBR,2021,69.782,1423.2296,
Macao,MAC,2021,65.819,64796.996,
Madagascar,MDG,2021,81.531,1463.6288,
Mauritania,MRT,2021,27.396,5307.522,
Mexico,MEX,2021,43.809,19086.105,
Morocco,MAR,2021,22.009,8058.397,
Myanmar,MMR,2021,40.987,4032.6257,
Nepal,NPL,2021,78.691,3831.9485,
Oman,OMN,2021,28.721,34294.766,
Peru,PER,2021,66.069,12514.651,
Rwanda,RWA,2021,82.501,2238.9573,
Samoa,WSM,2021,30.7,5534.127,
Saudi Arabia,SAU,2021,30.937,44339.312,
Singapore,SGP,2021,59.406,106032.23,
Somalia,SOM,2021,20.901,1136.736,
Sudan,SDN,2021,28.653,3701.069,
Tunisia,TUN,2021,25.493,10397.944,
Vietnam,VNM,2021,69.637,10628.219,
