Entity,Code,Year,Maternal Mortality Ratio (Gapminder (2010) and World Bank (2015)),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2020,,1968.341,38972236.0,
Africa,,2020,,,1360677453.0,
Angola,AGO,2020,,6032.275,33428490.0,
Argentina,ARG,2020,,19685.217,45036032.0,
Asia,,2020,,,4663086623.0,
Australia,AUS,2020,2.0,48747.85,25670052.0,
Azerbaijan,AZE,2020,,13726.77,10284952.0,
Bahamas,BHS,2020,,26659.238,406478.0,
Belarus,BLR,2020,,19225.574,9633745.0,
Belgium,BEL,2020,,48978.934,11561716.0,
Brazil,BRA,2020,,14021.958,213196304.0,
Burkina Faso,BFA,2020,,2093.7336,21522632.0,
Burundi,BDI,2020,,711.3553,12220229.0,
Chad,TCD,2020,,1489.1868,16644707.0,
China,CHN,2020,,16296.779,1424929792.0,
Cote d'Ivoire,CIV,2020,,5098.56,26811792.0,
East Timor,TLS,2020,,4856.518,1299998.0,
Egypt,EGY,2020,,11380.847,107465128.0,
Equatorial Guinea,GNQ,2020,,15132.38,1596057.0,
Eswatini,SWZ,2020,,8290.409,1180663.0,
Ethiopia,ETH,2020,,2253.2358,117190920.0,
Europe,,2020,,,747462669.0,
Gabon,GAB,2020,,13903.289,2292583.0,
Germany,DEU,2020,3.6,51840.33,83328992.0,
Greece,GRC,2020,,27103.541,10512232.0,
Haiti,HTI,2020,,2959.0894,11306804.0,
Honduras,HND,2020,,5028.145,10121762.0,
India,IND,2020,,6114.0317,1396387072.0,
Indonesia,IDN,2020,,11515.74,271857984.0,
Iran,IRN,2020,,14432.362,87290192.0,
Iraq,IRQ,2020,,8919.798,42556988.0,
Ireland,IRL,2020,0.0,91099.75,4946123.0,
Japan,JPN,2020,2.7,39935.465,125244760.0,
Kazakhstan,KAZ,2020,,25361.508,18979250.0,
Kenya,KEN,2020,,4498.383,51985780.0,
Kiribati,KIR,2020,,1944.8469,126473.0,
Liberia,LBR,2020,,1383.8281,5087591.0,
Libya,LBY,2020,,16924.15,6653946.0,
Malaysia,MYS,2020,,25830.973,33199988.0,
Mexico,MEX,2020,54.0,18327.99,125998296.0,
Mozambique,MOZ,2020,,1232.9856,31178242.0,
Myanmar,MMR,2020,,4947.0938,53423200.0,
Nepal,NPL,2020,,3761.8027,29348626.0,
Netherlands,NLD,2020,1.2,54275.004,17434562.0,
Nicaragua,NIC,2020,,5181.727,6755900.0,
Niger,NER,2020,,1214.5465,24333644.0,
Nigeria,NGA,2020,,4865.087,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Oman,OMN,2020,,33098.21,4543406.0,
Panama,PAN,2020,,25510.273,4294391.0,
Peru,PER,2020,,11176.919,33304768.0,
Philippines,PHL,2020,,7773.2603,112190984.0,
Qatar,QAT,2020,,89019.07,2760390.0,
Russia,RUS,2020,,26583.797,145617328.0,
Samoa,WSM,2020,,6062.3667,214934.0,
Saudi Arabia,SAU,2020,,42891.688,35997108.0,
Serbia,SRB,2020,,18265.967,7358010.0,
Slovakia,SVK,2020,1.8,30867.973,5456681.0,
Slovenia,SVN,2020,,37098.12,2117648.0,
Solomon Islands,SLB,2020,,2469.1077,691198.0,
Somalia,SOM,2020,,1127.4186,16537018.0,
South Africa,ZAF,2020,,12815.909,58801928.0,
South America,,2020,,,431530105.0,
South Korea,KOR,2020,11.8,42396.76,51844688.0,
Tajikistan,TJK,2020,,3651.9421,9543211.0,
Turkey,TUR,2020,13.1,28473.205,84135432.0,
Turkmenistan,TKM,2020,,,6250442.0,
United Kingdom,GBR,2020,,41984.105,67059472.0,
United States,USA,2020,23.8,60167.855,335942016.0,
Uzbekistan,UZB,2020,,7344.22,33526662.0,
Vanuatu,VUT,2020,,2836.8135,311694.0,
