Entity,Code,Year,Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Number)
African Region (WHO),,1990,574550
African Region (WHO),,1995,587630
African Region (WHO),,2000,575097
African Region (WHO),,2005,527585
African Region (WHO),,2010,465196
African Region (WHO),,2015,418145
African Region (WHO),,2019,347237
Malta,MLT,1990,2
Malta,MLT,1995,2
Malta,MLT,2000,1
Malta,MLT,2005,1
Malta,MLT,2010,1
Malta,MLT,2015,1
Malta,MLT,2019,1
Mauritania,MRT,1990,1248
Mauritania,MRT,1995,1158
Mauritania,MRT,2000,1232
Mauritania,MRT,2005,1162
Mauritania,MRT,2010,922
Mauritania,MRT,2015,699
Mauritania,MRT,2019,467
Palestine,PSE,1990,225
Palestine,PSE,1995,203
Palestine,PSE,2000,186
Palestine,PSE,2005,177
Palestine,PSE,2010,123
Palestine,PSE,2015,70
Palestine,PSE,2019,50
Puerto Rico,PRI,1990,60
Puerto Rico,PRI,1995,56
Puerto Rico,PRI,2000,41
Puerto Rico,PRI,2005,27
Puerto Rico,PRI,2010,18
Puerto Rico,PRI,2015,10
Puerto Rico,PRI,2019,9
