Entity,Code,Year,2.1.1 Prevalence of undernourishment | 00000000024000 || Value | 006121 || Percent,Total | 00002901 || Food available for consumption | 0664pc || kilocalories per day per capita,Continent
Afghanistan,AFG,2020,29.8,2237.4778,
Africa,,2020,,2564.7588,
Africa (FAO),,2020,19.6,2602.0,
Albania,ALB,2020,3.9,3313.6084,
Algeria,DZA,2020,2.5,3519.0496,
Angola,AGO,2020,20.8,2349.8035,
Asia,,2020,,2912.9773,
Asia (FAO),,2020,8.6,2931.0,
Austria,AUT,2020,2.5,3738.9417,
Bangladesh,BGD,2020,11.4,2532.9873,
Barbados,BRB,2020,3.4,3080.5632,
Belize,BLZ,2020,7.4,2786.9167,
Bolivia,BOL,2020,13.9,2430.2146,
Bulgaria,BGR,2020,3.0,2881.253,
Cape Verde,CPV,2020,17.7,2493.4556,
Caribbean (FAO),,2020,16.5,2794.0,
Central African Republic,CAF,2020,52.2,1641.554,
Chad,TCD,2020,32.7,2217.456,
Democratic Republic of Congo,COD,2020,39.8,1995.6511,
Djibouti,DJI,2020,13.5,2541.2297,
Dominican Republic,DOM,2020,6.7,2939.8723,
East Timor,TLS,2020,26.2,2296.1174,
Europe,,2020,,3443.6064,
Georgia,GEO,2020,7.6,3223.401,
Haiti,HTI,2020,47.2,2109.7114,
Iraq,IRQ,2020,15.9,2179.0776,
Japan,JPN,2020,3.2,2705.3462,
Jordan,JOR,2020,16.9,2307.876,
Kyrgyzstan,KGZ,2020,5.3,2737.6724,
Least Developed Countries (FAO),,2020,23.1,2429.0,
Lebanon,LBN,2020,10.9,3443.5005,
Lesotho,LSO,2020,34.7,1921.6636,
Madagascar,MDG,2020,48.5,1770.8403,
Mali,MLI,2020,9.8,2782.289,
North America,,2020,,3548.4973,
Oceania,,2020,,3018.344,
Rwanda,RWA,2020,35.8,2190.1704,
South America,,2020,,3105.1711,
Vanuatu,VUT,2020,11.9,2769.9302,
