Entity,Code,Year,Trust in police (Eurostat (2015)),Trust in others (Eurostat (2015)),Population (historical estimates),Continent
Austria,AUT,2013,7.2,5.9,8479542.0,
Belgium,BEL,2013,6.1,5.7,11103260.0,
Denmark,DNK,2013,7.9,8.3,5625393.0,
Europe,,2013,,,741180502.0,
Finland,FIN,2013,8.2,7.4,5438873.0,
France,FRA,2013,5.7,5.0,63335180.0,
Germany,DEU,2013,6.4,5.5,81680592.0,
Greece,GRC,2013,5.0,5.3,10914501.0,
Hungary,HUN,2013,5.7,5.3,9894637.0,
Iceland,ISL,2013,7.7,7.0,324036.0,
Ireland,IRL,2013,6.9,6.4,4588830.0,
Italy,ITA,2013,5.8,5.7,60312600.0,
Netherlands,NLD,2013,6.6,6.9,16867352.0,
Norway,NOR,2013,7.5,7.3,5080667.0,
Poland,POL,2013,5.2,6.0,38607352.0,
Portugal,PRT,2013,5.4,5.3,10464537.0,
Slovakia,SVK,2013,4.4,5.8,5414744.0,
Spain,ESP,2013,5.4,6.3,46603460.0,
Sweden,SWE,2013,7.1,6.9,9648935.0,
Switzerland,CHE,2013,7.4,6.4,8088370.0,
United Kingdom,GBR,2013,6.4,6.1,64302296.0,
