Entity,Code,Year,Deaths - Drowning - Sex: Both - Age: Age-standardized (Rate)
Argentina,ARG,1990,3.38
Argentina,ARG,1995,2.89
Argentina,ARG,2000,2.5
Argentina,ARG,2005,1.91
Argentina,ARG,2010,1.61
Argentina,ARG,2015,1.31
Argentina,ARG,2019,1.28
Canada,CAN,1990,1.52
Canada,CAN,1995,1.29
Canada,CAN,2000,1.07
Canada,CAN,2005,0.95
Canada,CAN,2010,0.83
Canada,CAN,2015,0.8
Canada,CAN,2019,0.76
Colombia,COL,1990,4.73
Colombia,COL,1995,4.08
Colombia,COL,2000,3.24
Colombia,COL,2005,3.21
Colombia,COL,2010,3.04
Colombia,COL,2015,2.37
Colombia,COL,2019,2.04
Croatia,HRV,1990,2.69
Croatia,HRV,1995,2.5
Croatia,HRV,2000,2.13
Croatia,HRV,2005,1.74
Croatia,HRV,2010,1.71
Croatia,HRV,2015,1.57
Croatia,HRV,2019,1.38
India,IND,1990,9.65
India,IND,1995,8.39
India,IND,2000,7.43
India,IND,2005,6.29
India,IND,2010,5.61
India,IND,2015,4.58
India,IND,2019,4.16
North Macedonia,MKD,1990,1.62
North Macedonia,MKD,1995,1.53
North Macedonia,MKD,2000,1.46
North Macedonia,MKD,2005,1.23
North Macedonia,MKD,2010,1.08
North Macedonia,MKD,2015,1.03
North Macedonia,MKD,2019,0.95
Sweden,SWE,1990,1.38
Sweden,SWE,1995,1.24
Sweden,SWE,2000,1.18
Sweden,SWE,2005,1.02
Sweden,SWE,2010,0.78
Sweden,SWE,2015,0.76
Sweden,SWE,2019,0.68
World,OWID_WRL,1990,8.1
World,OWID_WRL,1995,7.4
World,OWID_WRL,2000,6.33
World,OWID_WRL,2005,5.2
World,OWID_WRL,2010,4.29
World,OWID_WRL,2015,3.53
World,OWID_WRL,2019,3.12
