Entity,Code,Year,Number of children who are wasted (IHME)
Bangladesh,BGD,1990,3258151.612349999
Bangladesh,BGD,1995,3007361.1374399997
Bangladesh,BGD,2000,2180993.9924999997
Bangladesh,BGD,2005,2137532.3361
Bangladesh,BGD,2010,2215452.7614800003
Bangladesh,BGD,2016,1851384.71301
Benin,BEN,1990,96341.09409
Benin,BEN,1995,138140.20858
Benin,BEN,2000,138301.76691000003
Benin,BEN,2005,142955.756
Benin,BEN,2010,189785.36100000003
Benin,BEN,2016,157479.66529999996
Botswana,BWA,1990,16828.92299
Botswana,BWA,1995,16894.685680000002
Botswana,BWA,2000,14187.079789999998
Botswana,BWA,2005,15268.288719999997
Botswana,BWA,2010,16499.115179999997
Botswana,BWA,2016,15932.57472
Central African Republic,CAF,1990,36483.59099
Central African Republic,CAF,1995,44050.495939999986
Central African Republic,CAF,2000,61366.12857000001
Central African Republic,CAF,2005,72438.54753000001
Central African Republic,CAF,2010,67130.3266
Central African Republic,CAF,2016,61057.18280000002
Congo,COG,1990,22395.603000000003
Congo,COG,1995,26559.13274
Congo,COG,2000,37657.5975
Congo,COG,2005,45885.031919999994
Congo,COG,2010,53962.48312
Congo,COG,2016,59517.28719999999
France,FRA,1990,51635.73501
France,FRA,1995,46284.57129000001
France,FRA,2000,43208.674320000006
France,FRA,2005,38345.82000000001
France,FRA,2010,39200.16425
France,FRA,2016,37058.12159999999
Japan,JPN,1990,166532.71487999998
Japan,JPN,1995,146274.42601
Japan,JPN,2000,121187.9944
Japan,JPN,2005,96494.10708000002
Japan,JPN,2010,94587.07232
Japan,JPN,2016,87701.30646000002
Nicaragua,NIC,1990,21901.696960000005
Nicaragua,NIC,1995,23657.4852
Nicaragua,NIC,2000,18065.4252
Nicaragua,NIC,2005,12910.26982
Nicaragua,NIC,2010,14066.0297
Nicaragua,NIC,2016,13378.78726
Nigeria,NGA,1990,1865181.31185
Nigeria,NGA,1995,2579929.11827
Nigeria,NGA,2000,2957351.0461300006
Nigeria,NGA,2005,3023974.3414300005
Nigeria,NGA,2010,3383275.07256
Nigeria,NGA,2016,3697784.84919
