Entity,Code,Year,Participation time in personal care (Eurostat),Population (historical estimates),Continent
Belgium,BEL,2000,488.14813,10264351.0,
Belgium,BEL,2010,463.89261,10877948.0,
Estonia,EST,2000,467.92609,1396881.0,
Estonia,EST,2010,461.54733,1331535.0,
Europe,,2000,,727917165.0,
Europe,,2010,,737406197.0,
Finland,FIN,2000,463.35541,5176208.0,
Finland,FIN,2010,465.62875,5363279.0,
France,FRA,2000,503.6803,58665456.0,
France,FRA,2010,488.43338,62444568.0,
Germany,DEU,2000,482.97675,81551680.0,
Germany,DEU,2010,481.69525,81325088.0,
Italy,ITA,2000,473.44388,56966400.0,
Italy,ITA,2010,467.47034,59822452.0,
Norway,NOR,2000,460.08301,4491204.0,
Norway,NOR,2010,458.54749,4889747.0,
Poland,POL,2000,485.4433,38504432.0,
Poland,POL,2010,469.94641,38597356.0,
Spain,ESP,2000,479.52142,40741652.0,
Spain,ESP,2010,484.22906,46572776.0,
United Kingdom,GBR,2000,476.48718,58850044.0,
United Kingdom,GBR,2010,466.96832,62760048.0,
