Entity,Code,Year,Augmented Human Development Index (AHDI),814486-annotations
Bangladesh,BGD,1960,0.089084886,
Bangladesh,BGD,1980,0.14473437,
Bangladesh,BGD,2000,0.24679819,
Bangladesh,BGD,2020,0.26811337,
Cameroon,CMR,1870,0.019028256,
Cameroon,CMR,1880,0.019255776,
Cameroon,CMR,1900,0.022295577,
Cameroon,CMR,1960,0.09620287,
Cameroon,CMR,1980,0.14371543,
Cameroon,CMR,2000,0.19476524,
Cameroon,CMR,2020,0.22072946,
Germany,DEU,1870,0.17890812,
Germany,DEU,1880,0.19727308,
Germany,DEU,1900,0.23841342,
Germany,DEU,1960,0.5192052,
Germany,DEU,1980,0.6452689,
Germany,DEU,2000,0.73080254,
Germany,DEU,2020,0.8373071,
Haiti,HTI,1960,0.07612651,
Haiti,HTI,1980,0.10329149,
Haiti,HTI,2000,0.20843273,
Haiti,HTI,2020,0.24188195,
Madagascar,MDG,1870,0.024535885,
Madagascar,MDG,1880,0.026532939,
Madagascar,MDG,1900,0.04500882,
Madagascar,MDG,1960,0.10706668,
Madagascar,MDG,1980,0.12843198,
Madagascar,MDG,2000,0.21207795,
Madagascar,MDG,2020,0.23945251,
Nigeria,NGA,1870,0.026667729,
Nigeria,NGA,1880,0.02813716,
Nigeria,NGA,1900,0.03077825,
Nigeria,NGA,1960,0.11228859,
Nigeria,NGA,1980,0.14887619,
Nigeria,NGA,2000,0.2095013,
Nigeria,NGA,2020,0.2915622,
Qatar,QAT,1870,0.030263482,
Qatar,QAT,1880,0.026911963,
Qatar,QAT,1900,0.02943759,
Qatar,QAT,1960,0.16015787,
Qatar,QAT,1980,0.23307702,
Qatar,QAT,2000,0.28629023,
Qatar,QAT,2020,0.36152875,
Uganda,UGA,1870,0.024791745,
Uganda,UGA,1880,0.026631508,
Uganda,UGA,1900,0.029788513,
Uganda,UGA,1960,0.11150507,
Uganda,UGA,1980,0.09941235,
Uganda,UGA,2000,0.17929925,
Uganda,UGA,2020,0.25961944,
Zambia,ZMB,1870,0.023489725,
Zambia,ZMB,1880,0.02497421,
Zambia,ZMB,1900,0.02733306,
Zambia,ZMB,1960,0.1346566,
Zambia,ZMB,1980,0.18583426,
Zambia,ZMB,2000,0.2263056,
Zambia,ZMB,2020,0.28274053,
