Entity,Code,Year,"Prevalence of obesity among adults, BMI >= 30 (age-standardized estimate) (%) - Sex: female - Age group: 18+  years"
Bahrain,BHR,1975,22.1
Bahrain,BHR,1980,23.8
Bahrain,BHR,1985,25.5
Bahrain,BHR,1990,27.3
Bahrain,BHR,1995,29.1
Bahrain,BHR,2000,30.7
Bahrain,BHR,2005,32.4
Bahrain,BHR,2010,34.3
Bahrain,BHR,2016,36.8
Cape Verde,CPV,1975,1.8
Cape Verde,CPV,1980,2.3
Cape Verde,CPV,1985,3.2
Cape Verde,CPV,1990,4.9
Cape Verde,CPV,1995,7.0
Cape Verde,CPV,2000,9.0
Cape Verde,CPV,2005,11.1
Cape Verde,CPV,2010,13.4
Cape Verde,CPV,2016,16.3
Denmark,DNK,1975,7.9
Denmark,DNK,1980,9.0
Denmark,DNK,1985,9.9
Denmark,DNK,1990,11.0
Denmark,DNK,1995,12.1
Denmark,DNK,2000,13.2
Denmark,DNK,2005,14.3
Denmark,DNK,2010,15.5
Denmark,DNK,2016,17.0
Madagascar,MDG,1975,0.9
Madagascar,MDG,1980,1.1
Madagascar,MDG,1985,1.5
Madagascar,MDG,1990,2.0
Madagascar,MDG,1995,2.6
Madagascar,MDG,2000,3.4
Madagascar,MDG,2005,4.3
Madagascar,MDG,2010,5.6
Madagascar,MDG,2016,7.5
Pakistan,PAK,1975,1.6
Pakistan,PAK,1980,2.0
Pakistan,PAK,1985,2.7
Pakistan,PAK,1990,3.4
Pakistan,PAK,1995,4.4
Pakistan,PAK,2000,5.6
Pakistan,PAK,2005,7.0
Pakistan,PAK,2010,8.7
Pakistan,PAK,2016,11.3
Uruguay,URY,1975,14.6
Uruguay,URY,1980,16.1
Uruguay,URY,1985,17.9
Uruguay,URY,1990,19.7
Uruguay,URY,1995,21.7
Uruguay,URY,2000,23.7
Uruguay,URY,2005,25.8
Uruguay,URY,2010,28.0
Uruguay,URY,2016,30.6
