Entity,Code,Year,Bananas | 00000486 || Yield | 005419 || tonnes per hectare
Ethiopia (former),OWID_ERE,1961,14.090899
Ethiopia (former),OWID_ERE,1970,15.0
Ethiopia (former),OWID_ERE,1980,14.9485
Ethiopia (former),OWID_ERE,1990,14.620399
European Union (27),,1961,30.514174
European Union (27),,1970,32.261852
European Union (27),,1980,31.04414
European Union (27),,1990,42.49942
European Union (27),,2000,40.826405
European Union (27),,2010,40.629208
European Union (27),,2021,30.613358
Melanesia,OWID_MNS,1961,11.7926
Melanesia,OWID_MNS,1970,12.1058
Melanesia,OWID_MNS,1980,12.9275
Melanesia,OWID_MNS,1990,13.9890995
Melanesia,OWID_MNS,2000,13.8621
Melanesia,OWID_MNS,2010,14.7247
Melanesia,OWID_MNS,2021,16.5695
