Entity,Code,Year,"Deaths that are from all causes attributed to low physical activity per 100,000 people, in both sexes aged age-standardized"
Kyrgyzstan,KGZ,1990,12.672466
Kyrgyzstan,KGZ,1995,14.724985
Kyrgyzstan,KGZ,2000,17.530704
Kyrgyzstan,KGZ,2005,20.964748
Kyrgyzstan,KGZ,2010,20.058569
Kyrgyzstan,KGZ,2015,19.405523
Kyrgyzstan,KGZ,2019,17.551779
Mali,MLI,1990,6.2992544
Mali,MLI,1995,6.6437216
Mali,MLI,2000,6.6568604
Mali,MLI,2005,6.77437
Mali,MLI,2010,7.0424247
Mali,MLI,2015,6.7795277
Mali,MLI,2019,6.750255
