Entity,Code,Year,Low-carbon energy per capita (kWh - equivalent),"GDP per capita, PPP (constant 2017 international $)",Continent
Africa,,2021,0.40161234,,
Algeria,DZA,2021,0.040501717,11039.806,
Argentina,ARG,2021,2.9635279999999997,21527.195,
Asia,,2021,2.508676,,
Australia,AUS,2021,7.9227705,49774.34,
Austria,AUT,2021,16.324840000000002,54121.145,
Azerbaijan,AZE,2021,0.39118164,14431.661,
Bangladesh,BGD,2021,0.01976727,5911.013,
Brazil,BRA,2021,7.6549424,14592.353,
Bulgaria,BGR,2021,10.431708,24398.13,
Canada,CAN,2021,36.515934,47892.945,
Chile,CHL,2021,5.9580664,25449.13,
China,CHN,2021,5.297984400000001,17602.695,
Croatia,HRV,2021,7.2004795,31635.824,
Czechia,CZE,2021,10.6613125,40740.992,
Denmark,DNK,2021,13.037545,57962.652,
Ecuador,ECU,2021,3.8582812,10668.758,
Estonia,EST,2021,6.884393,38717.695,
Europe,,2021,10.148378,,
Finland,FIN,2021,31.316379,48753.355,
France,FRA,2021,20.25173,44993.125,
Hong Kong,HKG,2021,0.101563324,59978.15,
Iraq,IRQ,2021,0.22375128,8962.395,
Ireland,IRL,2021,6.623028000000001,102496.22,
Israel,ISR,2021,1.6937766,42061.242,
North America,,2021,10.803607,,
Norway,NOR,2021,76.14919,65662.17,
Oceania,,2021,6.7401353,,
Poland,POL,2021,2.5258687,34915.523,
Slovakia,SVK,2021,11.041741,31866.025,
Slovenia,SVN,2021,14.129253,40036.484,
South America,,2021,5.9306914,,
Sweden,SWE,2021,44.044360000000005,53613.42,
Switzerland,CHE,2021,18.207643,71032.84,
