Entity,Code,Year,"Crude marriage rate (per 1,000 inhabitants)",Population (historical estimates),Continent,"Crude marriage rate (per 1,000 inhabitants).1",Year.1
Argentina,ARG,2010,3.0,41100124.0,,4.300000191,1995.0
Armenia,ARM,2010,5.2,2946296.0,,4.199999809,1995.0
Australia,AUS,2010,5.4,22019166.0,,6.9,1990.0
Austria,AUT,2010,4.5,8362829.0,,5.9,1990.0
Azerbaijan,AZE,2010,8.7,9237203.0,,5.599999905,1995.0
Belarus,BLR,2010,8.1,9731426.0,,7.599999905,1995.0
Belgium,BEL,2010,3.9,10877948.0,,6.5,1990.0
Bulgaria,BGR,2010,3.3,7592271.0,,6.9,1990.0
Chile,CHL,2010,3.5,17004166.0,,6.6,1992.0
China,CHN,2010,9.3,1348191360.0,,7.699999809,1995.0
Costa Rica,CRI,2010,5.3,4622250.0,,7.5,1990.0
Cyprus,CYP,2010,7.3,1129693.0,,9.7,1990.0
Czechia,CZE,2010,4.5,10464750.0,,8.8,1990.0
European Union (28 countries),,2010,4.4,,,6.3,1990.0
Finland,FIN,2010,5.6,5363279.0,,5.0,1990.0
France,FRA,2010,3.9,62444568.0,,4.4,1994.0
Georgia,GEO,2010,7.8,3836834.0,,4.0,1995.0
Germany,DEU,2010,4.7,81325088.0,,6.5,1990.0
Greece,GRC,2010,5.1,11033784.0,,5.8,1990.0
Iceland,ISL,2010,4.9,318346.0,,4.5,1990.0
Ireland,IRL,2010,4.5,4524581.0,,5.1,1990.0
Israel,ISR,2010,6.3,7328439.0,,6.8,1990.0
Italy,ITA,2010,3.7,59822452.0,,5.6,1990.0
Japan,JPN,2010,5.5,128105432.0,,5.9,1990.0
Lithuania,LTU,2010,6.0,3139021.0,,9.8,1990.0
Malta,MLT,2010,6.3,418758.0,,7.1,1990.0
Mexico,MEX,2010,5.0,112532400.0,,7.4,1990.0
Montenegro,MNE,2010,5.9,631048.0,,6.0,1995.0
Norway,NOR,2010,4.8,4889747.0,,5.2,1990.0
Poland,POL,2010,6.0,38597356.0,,6.7,1990.0
Portugal,PRT,2010,3.8,10588401.0,,7.2,1990.0
Romania,ROU,2010,5.7,20335212.0,,8.3,1990.0
Slovakia,SVK,2010,4.7,5396428.0,,7.6,1990.0
South Korea,KOR,2010,6.5,48813036.0,,9.3,1990.0
Sweden,SWE,2010,5.3,9381722.0,,4.7,1990.0
Turkey,TUR,2010,8.0,73195352.0,,7.199999809,1985.0
Ukraine,UKR,2010,6.7,45683024.0,,8.399999619,1995.0
United States,USA,2010,6.800000191,311182848.0,,9.8,1990.0
