Entity,Code,Year,Battery-electric as a share of electric cars sold
European Union (27),,2012,62.176167
European Union (27),,2014,57.142857
European Union (27),,2016,44.915253
European Union (27),,2018,54.166668
European Union (27),,2020,51.42857
European Union (27),,2022,55.555557
Greece,GRC,2016,42.26804
Greece,GRC,2018,29.530201
Greece,GRC,2020,31.192661
Greece,GRC,2022,33.73494
Portugal,PRT,2014,95.47739
Portugal,PRT,2016,44.75138
Portugal,PRT,2018,51.25
Portugal,PRT,2020,39.39394
Portugal,PRT,2022,52.941177
Sweden,SWE,2012,29.032259
Sweden,SWE,2014,26.086956
Sweden,SWE,2016,22.48062
Sweden,SWE,2018,24.398626
Sweden,SWE,2020,29.787233
Sweden,SWE,2022,58.895706
Switzerland,CHE,2012,45.945946
Switzerland,CHE,2014,93.10345
Switzerland,CHE,2016,54.098362
Switzerland,CHE,2018,53.68421
Switzerland,CHE,2020,58.82353
Switzerland,CHE,2022,67.79661
