Entity,Code,Year,PIAAC: Mean Young Adult Numeracy Proficiency. Total,PIAAC: Mean Adult Numeracy Proficiency. Total,Population (historical estimates),Continent
Asia,,2015,,,4458250376.0,
Canada,CAN,2015,,,35732120.0,North America
Chile,CHL,2015,220.77103,206.05902,17870122.0,South America
Cyprus,CYP,2015,,,1187286.0,Europe
Czechia,CZE,2015,,,10523801.0,Europe
Denmark,DNK,2015,,,5677795.0,Europe
Europe,,2015,,,743294457.0,
France,FRA,2015,,,63809768.0,Europe
Ireland,IRL,2015,,,4665764.0,Europe
Italy,ITA,2015,,,60232908.0,Europe
Japan,JPN,2015,,,127250936.0,Asia
New Zealand,NZL,2015,266.80737,271.12552,4590591.0,Oceania
North America,,2015,,,570726015.0,
Oceania,,2015,,,40403644.0,
Poland,POL,2015,,,38553148.0,Europe
Russia,RUS,2015,,,144668384.0,Europe
Singapore,SGP,2015,287.23932,257.41882,5650020.0,Asia
Slovenia,SVN,2015,272.75177,257.55832,2080865.0,Europe
South America,,2015,,,413134461.0,
South Korea,KOR,2015,,,50994396.0,Asia
Spain,ESP,2015,,,46431344.0,Europe
Turkey,TUR,2015,233.68929,219.43004,79646176.0,Asia
United States,USA,2015,,,324607776.0,North America
