Entity,Code,Year,Cumulative CO₂ emissions from oil
Brazil,BRA,1950,13945120.0
Brazil,BRA,2000,5467510300.0
Brazil,BRA,2022,11773220000.0
Canada,CAN,1800,0.0
Canada,CAN,1850,0.0
Canada,CAN,1900,6893662.0
Canada,CAN,1950,579869400.0
Canada,CAN,2000,9622101000.0
Canada,CAN,2022,15212396000.0
China,CHN,1950,14721914.0
China,CHN,2000,10582577000.0
China,CHN,2022,35689185000.0
European Union (27),,1800,0.0
European Union (27),,1850,0.0
European Union (27),,1900,119499416.0
European Union (27),,1950,1765033200.0
European Union (27),,2000,62712220000.0
European Union (27),,2022,92618180000.0
India,IND,1900,13438143.0
India,IND,1950,121019770.0
India,IND,2000,4779001000.0
India,IND,2022,15507089000.0
Russia,RUS,1850,0.0
Russia,RUS,1900,146070820.0
Russia,RUS,1950,1650321000.0
Russia,RUS,2000,25756164000.0
Russia,RUS,2022,33613076000.0
United Kingdom,GBR,1750,0.0
United Kingdom,GBR,1800,0.0
United Kingdom,GBR,1850,0.0
United Kingdom,GBR,1900,34833704.0
United Kingdom,GBR,1950,313704800.0
United Kingdom,GBR,2000,9781454000.0
United Kingdom,GBR,2022,13696697000.0
United States,USA,1800,0.0
United States,USA,1850,0.0
United States,USA,1900,389647200.0
United States,USA,1950,17500146000.0
United States,USA,2000,111395725000.0
United States,USA,2022,163507300000.0
