Entity,Code,Year,Total number of people aged 15+ with no education (millions) (IIASA (2015))
Africa,,1970,108552902.2
Africa,,1980,119981298.1
Africa,,1990,132036666.8
Africa,,2000,143388176.89999998
Africa,,2010,150999730.2
Africa,,2020,156385772.5
Africa,,2030,157398213.8
Africa,,2040,152803247.8
Africa,,2050,142594400.0
Asia,,1970,543062789.8000001
Asia,,1980,551192192.9
Asia,,1990,555708387.6
Asia,,2000,531953814.2
Asia,,2010,496204358.1
Asia,,2020,444603677.7
Asia,,2030,384838895.2000001
Asia,,2040,318486558.8
Asia,,2050,248486070.4
Europe,,1970,39404321.61
Europe,,1980,32890068.03
Europe,,1990,26570900.23
Europe,,2000,21336618.45
Europe,,2010,17703701.06
Europe,,2020,13556861.1
Europe,,2030,10264953.82
Europe,,2040,7816729.094
Europe,,2050,5829735.240999999
North America,,1970,17696306.28
North America,,1980,16782384.85
North America,,1990,15206455.21
North America,,2000,13614814.18
North America,,2010,11813975.65
North America,,2020,9918958.761
North America,,2030,7953497.371
North America,,2040,6067789.738
North America,,2050,4377054.269
Oceania,,1970,435840.983
Oceania,,1980,270634.273
Oceania,,1990,165193.059
Oceania,,2000,93674.075
Oceania,,2010,48684.609
Oceania,,2020,23252.935
Oceania,,2030,10415.458
Oceania,,2040,3993.181
Oceania,,2050,1008.062
South America,,1970,27236163.32
South America,,1980,26125229.950000003
South America,,1990,23687566.42
South America,,2000,20591460.67
South America,,2010,17039224.35
South America,,2020,13309350.11
South America,,2030,9790066.95
South America,,2040,6717071.0030000005
South America,,2050,4213695.021000001
