Entity,Code,Year,"Share of total deaths that are from all causes attributed to air pollution, in both sexes aged age-standardized"
High Income (WB),,1990,6.068536
High Income (WB),,1995,5.548798
High Income (WB),,2000,5.0278816
High Income (WB),,2005,4.4807334
High Income (WB),,2010,4.0494776
High Income (WB),,2015,3.5603921
High Income (WB),,2019,3.3464696
Low Income (WB),,1990,15.674879
Low Income (WB),,1995,14.54013
Low Income (WB),,2000,14.153976
Low Income (WB),,2005,14.829494
Low Income (WB),,2010,15.019493
Low Income (WB),,2015,15.948801
Low Income (WB),,2019,15.974538
Lower Middle Income (WB),,1990,16.203962
Lower Middle Income (WB),,1995,15.913952
Lower Middle Income (WB),,2000,15.755102
Lower Middle Income (WB),,2005,15.568341
Lower Middle Income (WB),,2010,15.720097
Lower Middle Income (WB),,2015,15.745605
Lower Middle Income (WB),,2019,15.391962
Middle Income (WB),,1990,17.884048
Middle Income (WB),,1995,16.632507
Middle Income (WB),,2000,15.630138
Middle Income (WB),,2005,14.637513
Middle Income (WB),,2010,13.913899
Middle Income (WB),,2015,12.957178
Middle Income (WB),,2019,12.016369
World,OWID_WRL,1990,14.0115
World,OWID_WRL,1995,13.424568
World,OWID_WRL,2000,12.98484
World,OWID_WRL,2005,12.602571
World,OWID_WRL,2010,12.405498
World,OWID_WRL,2015,12.118674
World,OWID_WRL,2019,11.646928
