Entity,Code,Year,Share under $5 per day
Australia,AUS,1820,90.313443181342
Australia,AUS,1850,37.2439047757947
Australia,AUS,1950,1.02062322702025
Australia,AUS,2000,0.0003015181317522
Australia,AUS,2017,5.97597733872e-05
Italy,ITA,1820,56.2530337806765
Italy,ITA,1850,54.4625271951949
Italy,ITA,1950,15.9851842998402
Italy,ITA,2000,0.0024743944493392
Italy,ITA,2017,0.0010752235789449
Japan,JPN,1820,79.6967038533615
Japan,JPN,1850,76.0847770691037
Japan,JPN,1950,32.454743313937
Japan,JPN,2000,6.1082894276e-06
Japan,JPN,2017,2.34098619549e-05
United Kingdom,GBR,1820,53.1459743483426
United Kingdom,GBR,1850,25.6009959024188
United Kingdom,GBR,1950,0.147639135344678
United Kingdom,GBR,2000,0.0011076441351203
United Kingdom,GBR,2017,0.0001450442670623
United States,USA,1820,58.5475281670101
United States,USA,1850,33.3867578641454
United States,USA,1950,0.550211217358261
United States,USA,2000,0.003937768378372
United States,USA,2017,0.0022300148697765
