Entity,Code,Year,indiv_libs_vdem_owid,indiv_libs_vdem_high_owid,indiv_libs_vdem_low_owid
Angola,AGO,1900,0.006,0.013,0.003
Angola,AGO,1950,0.014,0.028,0.006
Angola,AGO,2000,0.206,0.295,0.14
Angola,AGO,2022,0.551,0.648,0.452
Bolivia,BOL,1850,0.176,0.261,0.115
Bolivia,BOL,1900,0.184,0.266,0.125
Bolivia,BOL,1950,0.156,0.221,0.101
Bolivia,BOL,2000,0.776,0.857,0.707
Bolivia,BOL,2022,0.782,0.852,0.696
Guyana,GUY,1900,0.693,0.785,0.59
Guyana,GUY,1950,0.733,0.813,0.632
Guyana,GUY,2000,0.739,0.81,0.644
Guyana,GUY,2022,0.764,0.832,0.67
Sudan,SDN,1821,0.372,0.483,0.269
Sudan,SDN,1850,0.44,0.565,0.345
Sudan,SDN,1900,0.174,0.257,0.12
Sudan,SDN,1950,0.209,0.298,0.142
Sudan,SDN,2000,0.059,0.106,0.035
Sudan,SDN,2022,0.223,0.303,0.15
