Entity,Code,Year,"8.8.1 - Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_FTLINJUR - No breakdown - Both sexes"
Azerbaijan,AZE,2000,4.0
Azerbaijan,AZE,2005,6.0
Azerbaijan,AZE,2021,3.0
Belarus,BLR,2000,6.4
Belarus,BLR,2005,6.1
Belarus,BLR,2010,5.1
Belarus,BLR,2015,2.0
Belarus,BLR,2021,2.55
Finland,FIN,2000,2.3
Finland,FIN,2005,2.4
Finland,FIN,2010,1.31
Finland,FIN,2015,1.44
New Zealand,NZL,2015,2.3
Puerto Rico,PRI,2000,4.05
Puerto Rico,PRI,2005,8.18
Saint Vincent and the Grenadines,VCT,2000,0.0
Saint Vincent and the Grenadines,VCT,2005,0.0
San Marino,SMR,2000,0.0
San Marino,SMR,2005,0.0
