Entity,Code,Year,Share of Revenue from Income tax (Flora (1983) and ICTD (2016))
Denmark,DNK,1960,43.099998
Denmark,DNK,2000,54.93
Denmark,DNK,2013,55.68
France,FRA,1920,9.6999998
France,FRA,1940,20.9
France,FRA,1960,19.1
France,FRA,1980,22.940001
France,FRA,2000,31.290001
France,FRA,2013,30.059999
Germany,DEU,1960,28.799999
Germany,DEU,2000,34.73
Germany,DEU,2013,37.310001
Italy,ITA,1871,0.89999998
Italy,ITA,1880,10.4
Italy,ITA,1900,11.9
Italy,ITA,1960,16.4
Italy,ITA,1980,40.709999
Italy,ITA,2000,41.330002
Italy,ITA,2013,40.959999
