Entity,Code,Year,Low-carbon energy (TWh growth - equivalent)
Australia,AUS,1966,-1.057621
Australia,AUS,1970,4.331917
Australia,AUS,1980,-2.4101906
Australia,AUS,1990,1.3345337
Australia,AUS,2000,0.055419922
Australia,AUS,2010,5.8951073
Australia,AUS,2022,34.753387
Brazil,BRA,1966,7.0701523
Brazil,BRA,1970,26.269218
Brazil,BRA,1980,40.109314
Brazil,BRA,1990,2.3168945
Brazil,BRA,2000,26.839966
Brazil,BRA,2010,71.69678
Brazil,BRA,2022,211.09119
China,CHN,1966,1.1499939
China,CHN,1970,2.2999878
China,CHN,1980,28.579987
China,CHN,1990,24.842438
China,CHN,2000,81.86499
China,CHN,2010,340.49585
China,CHN,2022,583.4961
India,IND,1966,2.5090752
India,IND,1970,6.791069
India,IND,1980,4.0520477
India,IND,1990,15.895279
India,IND,2000,-6.5183105
India,IND,2010,40.549316
India,IND,2022,133.01038
United Kingdom,GBR,1966,14.195526
United Kingdom,GBR,1970,-5.0482407
United Kingdom,GBR,1980,-4.6782
United Kingdom,GBR,1990,-14.048935
United Kingdom,GBR,2000,-27.584076
United Kingdom,GBR,2010,-14.809998
United Kingdom,GBR,2022,38.39093
United States,USA,1966,10.742126
United States,USA,1970,16.089172
United States,USA,1980,-21.263428
United States,USA,1990,240.06812
United States,USA,2000,-44.43921
United States,USA,2010,68.532715
United States,USA,2022,260.0498
