Entity,Code,Year,Vegetal Products | 00002903 || Food available for consumption | 0674pc || grams of protein per day per capita,"Meat, total | 00002943 || Food available for consumption | 0674pc || grams of protein per day per capita",All egg products | 00002744 || Food available for consumption | 0674pc || grams of protein per day per capita,Milk | 00002948 || Food available for consumption | 0674pc || grams of protein per day per capita,Fish and seafood | 00002960 || Food available for consumption | 0674pc || grams of protein per day per capita
Bangladesh,BGD,2020,47.60049,1.6132424,1.2099319,2.144432,7.5940437
Brazil,BRA,2020,37.158665,33.768818,3.5094848,13.828566,2.203398
China,CHN,2020,65.7172,19.757586,6.8989935,2.9595976,9.505055
India,IND,2020,51.10333,1.5713458,1.136508,10.179158,2.3224292
Japan,JPN,2020,38.63626,18.560755,6.311465,7.5535607,16.894527
Nigeria,NGA,2020,51.50338,2.6221702,0.79159856,0.554119,2.5430102
South Africa,ZAF,2020,43.299976,23.359596,2.3702526,5.022918,1.775168
Spain,ESP,2020,39.653473,33.355515,4.619822,17.492147,12.418241
United Kingdom,GBR,2020,47.265472,30.400133,3.5228925,18.981102,5.7297616
United States,USA,2020,41.95395,43.027916,4.6604548,21.69624,5.3895745
World,OWID_WRL,2020,50.235996,14.370084,3.132955,8.825644,5.57409
