Entity,Code,Year,It is important to this person living in secure surroundings: Very much like me,It is important to this person living in secure surroundings: Like me,It is important to this person living in secure surroundings: Somewhat like me,It is important to this person living in secure surroundings: A little like me,It is important to this person living in secure surroundings: Not like me,It is important to this person living in secure surroundings: Not at all like me,It is important to this person living in secure surroundings: Don't know,It is important to this person living in secure surroundings: No answer
Australia,AUS,2014,20.00711,29.48782,22.5001,15.02647,8.740975,2.52967,0.0,1.707865
Colombia,COL,2014,52.51323,28.04233,9.259259,5.68783,2.71164,1.653439,0.0661376,0.0661376
Georgia,GEO,2014,42.1797,36.60566,11.98003,4.076539,3.74376,0.9983361,0.3327787,0.0831947
Germany,DEU,2014,16.55825,23.54719,21.10425,16.93875,15.9384,5.40026,0.3534215,0.1594696
Libya,LBY,2014,61.46369,20.36081,7.969669,4.065993,2.756657,0.593061,2.331273,0.4588447
Pakistan,PAK,2014,26.29474,28.86463,24.2769,10.70801,6.322566,2.458595,0.9870443,0.0875114
Slovenia,SVN,2014,26.37979,41.15997,15.80917,8.512629,5.425631,1.590271,0.5612722,0.5612722
Turkey,TUR,2014,29.0341,38.26561,19.18331,8.831131,2.617239,0.2157586,1.852854,0.0
Ukraine,UKR,2014,20.07303,26.39401,24.83117,17.15601,9.065246,2.480536,0.0,0.0
Uruguay,URY,2014,37.0,32.5,16.0,9.8,3.0,1.5,0.1,0.1
