Entity,Code,Year,"Current number of cases of parkinson's disease per 100,000 people, in both sexes aged age-standardized"
Albania,ALB,1990,89.89843
Albania,ALB,1995,93.7069
Albania,ALB,2000,92.823524
Albania,ALB,2005,95.70659
Albania,ALB,2010,96.613174
Albania,ALB,2015,97.656364
Albania,ALB,2019,97.92446
Jamaica,JAM,1990,76.622055
Jamaica,JAM,1995,80.681725
Jamaica,JAM,2000,78.52335
Jamaica,JAM,2005,89.64434
Jamaica,JAM,2010,92.43389
Jamaica,JAM,2015,84.46243
Jamaica,JAM,2019,88.704636
Mauritius,MUS,1990,104.15021
Mauritius,MUS,1995,104.098656
Mauritius,MUS,2000,110.846954
Mauritius,MUS,2005,108.22814
Mauritius,MUS,2010,107.297356
Mauritius,MUS,2015,105.183075
Mauritius,MUS,2019,108.19247
Palestine,PSE,1990,76.69521
Palestine,PSE,1995,74.11361
Palestine,PSE,2000,72.92762
Palestine,PSE,2005,74.09795
Palestine,PSE,2010,76.04604
Palestine,PSE,2015,76.32819
Palestine,PSE,2019,78.27616
