Entity,Code,Year,Oil (TWh growth)
Australia,AUS,1966,14.028183
Australia,AUS,1970,27.747284
Australia,AUS,1980,-18.147186
Australia,AUS,1990,8.368408
Australia,AUS,2000,-0.1723938
Australia,AUS,2010,15.165985
Australia,AUS,2022,38.34375
Brazil,BRA,1966,16.067032
Brazil,BRA,1970,37.701263
Brazil,BRA,1980,-20.628052
Brazil,BRA,1990,4.1550903
Brazil,BRA,2000,46.768066
Brazil,BRA,2010,86.679565
Brazil,BRA,2022,63.058228
Finland,FIN,1966,14.379189
Finland,FIN,1970,14.05574
Finland,FIN,1980,-5.853668
Finland,FIN,1990,1.9719696
Finland,FIN,2000,-0.7530136
Finland,FIN,2010,4.337311
Finland,FIN,2022,1.362297
Norway,NOR,1966,7.767994
Norway,NOR,1970,10.833946
Norway,NOR,1980,-3.9293747
Norway,NOR,1990,-4.098984
Norway,NOR,2000,-8.421265
Norway,NOR,2010,2.5838394
Norway,NOR,2022,-5.4677734
Portugal,PRT,1966,0.76302147
Portugal,PRT,1970,14.826481
Portugal,PRT,1980,6.5832596
Portugal,PRT,1990,-11.848724
Portugal,PRT,2000,-3.745636
Portugal,PRT,2010,-3.334198
Portugal,PRT,2022,9.698677
United States,USA,1966,316.76807
United States,USA,1970,344.35352
United States,USA,1980,-804.3613
United States,USA,1990,-210.61719
United States,USA,2000,117.04199
United States,USA,2010,153.9834
United States,USA,2022,178.28027
