Entity,Code,Year,Deaths - Protein-energy malnutrition - Sex: Both - Age: Age-standardized (Rate)
India,IND,1990,18.85
India,IND,1995,12.96
India,IND,2000,8.1
India,IND,2005,4.59
India,IND,2010,3.14
India,IND,2015,1.96
India,IND,2019,1.19
Somalia,SOM,1990,105.41
Somalia,SOM,1995,88.97
Somalia,SOM,2000,80.17
Somalia,SOM,2005,71.07
Somalia,SOM,2010,127.21
Somalia,SOM,2015,51.72
Somalia,SOM,2019,46.73
South Sudan,SSD,1990,119.86
South Sudan,SSD,1995,109.96
South Sudan,SSD,2000,90.85
South Sudan,SSD,2005,67.5
South Sudan,SSD,2010,41.4
South Sudan,SSD,2015,32.69
South Sudan,SSD,2019,25.51
Trinidad and Tobago,TTO,1990,5.85
Trinidad and Tobago,TTO,1995,4.6
Trinidad and Tobago,TTO,2000,3.37
Trinidad and Tobago,TTO,2005,2.45
Trinidad and Tobago,TTO,2010,1.75
Trinidad and Tobago,TTO,2015,1.49
Trinidad and Tobago,TTO,2019,1.54
World,OWID_WRL,1990,11.88
World,OWID_WRL,1995,11.86
World,OWID_WRL,2000,9.08
World,OWID_WRL,2005,5.63
World,OWID_WRL,2010,4.49
World,OWID_WRL,2015,3.58
World,OWID_WRL,2019,3.01
Zimbabwe,ZWE,1990,27.0
Zimbabwe,ZWE,1995,23.84
Zimbabwe,ZWE,2000,24.84
Zimbabwe,ZWE,2005,26.83
Zimbabwe,ZWE,2010,32.2
Zimbabwe,ZWE,2015,30.12
Zimbabwe,ZWE,2019,27.38
