Entity,Code,Year,Share of social protection in government expenditure (OECD (2017))
Australia,AUS,2007,27.91
Australia,AUS,2008,30.87
Australia,AUS,2009,26.4
Australia,AUS,2010,26.8
Australia,AUS,2011,27.02
Australia,AUS,2012,27.16
Australia,AUS,2013,27.71
Australia,AUS,2014,28.23
Australia,AUS,2015,28.19
Austria,AUT,2007,39.38
Austria,AUT,2008,39.23
Austria,AUT,2009,39.19
Austria,AUT,2010,40.42
Austria,AUT,2011,40.63
Austria,AUT,2012,40.81
Austria,AUT,2013,41.72
Austria,AUT,2014,40.95
Austria,AUT,2015,41.96
Costa Rica,CRI,2012,24.87
Costa Rica,CRI,2013,25.43
Costa Rica,CRI,2014,25.35
Hungary,HUN,2007,34.43
Hungary,HUN,2008,35.78
Hungary,HUN,2009,35.87
Hungary,HUN,2010,35.24
Hungary,HUN,2011,34.12
Hungary,HUN,2012,34.44
Hungary,HUN,2013,33.41
Hungary,HUN,2014,31.52
Hungary,HUN,2015,29.9
Latvia,LVA,2007,23.38
Latvia,LVA,2008,24.32
Latvia,LVA,2009,32.06
Latvia,LVA,2010,31.74
Latvia,LVA,2011,31.5
Latvia,LVA,2012,30.72
Latvia,LVA,2013,31.22
Latvia,LVA,2014,30.54
Latvia,LVA,2015,30.96
South Korea,KOR,2007,15.18
South Korea,KOR,2008,15.15
South Korea,KOR,2009,14.81
South Korea,KOR,2010,16.38
South Korea,KOR,2011,16.48
South Korea,KOR,2012,17.26
South Korea,KOR,2013,18.44
South Korea,KOR,2014,19.41
Spain,ESP,2007,32.94
Spain,ESP,2008,33.46
Spain,ESP,2009,34.97
Spain,ESP,2010,36.34
Spain,ESP,2011,36.74
Spain,ESP,2012,36.52
Spain,ESP,2013,39.46
Spain,ESP,2014,39.41
Spain,ESP,2015,39.12
Switzerland,CHE,2007,38.45
Switzerland,CHE,2008,38.06
Switzerland,CHE,2009,38.43
Switzerland,CHE,2010,38.88
Switzerland,CHE,2011,38.12
Switzerland,CHE,2012,38.48
Switzerland,CHE,2013,39.59
Switzerland,CHE,2014,39.23
Switzerland,CHE,2015,39.85
United Kingdom,GBR,2007,34.98
United Kingdom,GBR,2008,33.58
United Kingdom,GBR,2009,35.55
United Kingdom,GBR,2010,35.64
United Kingdom,GBR,2011,36.43
United Kingdom,GBR,2012,37.39
United Kingdom,GBR,2013,37.91
United Kingdom,GBR,2014,37.82
United Kingdom,GBR,2015,38.38
United States,USA,2007,18.16
United States,USA,2008,19.61
United States,USA,2009,20.13
United States,USA,2010,21.05
United States,USA,2011,20.67
United States,USA,2012,20.46
United States,USA,2013,20.9
United States,USA,2014,20.67
United States,USA,2015,20.79
