Entity,Code,Year,Annual CO₂ emissions from flaring (per capita)
Austria,AUT,1807,0.0
Austria,AUT,1850,0.0
Austria,AUT,1900,0.0
Austria,AUT,1950,0.0
Austria,AUT,2000,0.020563079
Austria,AUT,2022,0.009423558
Burkina Faso,BFA,1950,0.0
Burkina Faso,BFA,2000,0.0
Burkina Faso,BFA,2022,0.0
Czechia,CZE,1900,0.0
Czechia,CZE,1950,0.0
Czechia,CZE,2000,0.03150406
Czechia,CZE,2022,0.005225181
Dominican Republic,DOM,1950,0.0
Dominican Republic,DOM,2000,0.0
Dominican Republic,DOM,2022,0.0
Montserrat,MSR,2000,0.0
Montserrat,MSR,2022,0.0
Netherlands,NLD,1850,0.0
Netherlands,NLD,1900,0.0
Netherlands,NLD,1950,0.0
Netherlands,NLD,2000,0.02208755
Netherlands,NLD,2022,0.063836925
New Caledonia,NCL,1950,0.0
New Caledonia,NCL,2000,0.0
New Caledonia,NCL,2022,0.0
