Entity,Code,Year,"Share of total deaths that are from neoplasms attributed to tobacco, in both sexes aged age-standardized"
African Region (WHO),,1990,12.797247
African Region (WHO),,1995,12.976766
African Region (WHO),,2000,12.826159
African Region (WHO),,2005,11.914253
African Region (WHO),,2010,11.2155485
African Region (WHO),,2015,10.582701
African Region (WHO),,2019,10.158588
Eastern Mediterranean Region (WHO),,1990,23.344555
Eastern Mediterranean Region (WHO),,1995,23.114338
Eastern Mediterranean Region (WHO),,2000,22.805412
Eastern Mediterranean Region (WHO),,2005,22.230022
Eastern Mediterranean Region (WHO),,2010,21.615177
Eastern Mediterranean Region (WHO),,2015,20.897367
Eastern Mediterranean Region (WHO),,2019,20.38401
European Region (WHO),,1990,30.510204
European Region (WHO),,1995,30.296257
European Region (WHO),,2000,29.181078
European Region (WHO),,2005,28.59211
European Region (WHO),,2010,28.447407
European Region (WHO),,2015,28.06266
European Region (WHO),,2019,27.443817
Region of the Americas (WHO),,1990,31.21093
Region of the Americas (WHO),,1995,30.233562
Region of the Americas (WHO),,2000,28.968159
Region of the Americas (WHO),,2005,27.657743
Region of the Americas (WHO),,2010,26.14701
Region of the Americas (WHO),,2015,24.335169
Region of the Americas (WHO),,2019,23.435724
South-East Asia Region (WHO),,1990,23.439615
South-East Asia Region (WHO),,1995,23.23386
South-East Asia Region (WHO),,2000,22.554377
South-East Asia Region (WHO),,2005,21.839172
South-East Asia Region (WHO),,2010,21.37703
South-East Asia Region (WHO),,2015,20.468796
South-East Asia Region (WHO),,2019,20.101227
Western Pacific Region (WHO),,1990,28.034973
Western Pacific Region (WHO),,1995,29.231012
Western Pacific Region (WHO),,2000,30.31446
Western Pacific Region (WHO),,2005,31.156502
Western Pacific Region (WHO),,2010,31.042416
Western Pacific Region (WHO),,2015,30.877981
Western Pacific Region (WHO),,2019,30.691349
