Entity,Code,Year,"Deaths that are from all causes attributed to air pollution per 100,000 people, in both sexes aged age-standardized"
Argentina,ARG,1990,50.302055
Argentina,ARG,1995,42.933495
Argentina,ARG,2000,35.6614
Argentina,ARG,2005,29.705933
Argentina,ARG,2010,27.70918
Argentina,ARG,2015,27.685236
Argentina,ARG,2019,25.40486
Burundi,BDI,1990,319.55713
Burundi,BDI,1995,318.21802
Burundi,BDI,2000,290.47687
Burundi,BDI,2005,266.50385
Burundi,BDI,2010,236.62361
Burundi,BDI,2015,216.44707
Burundi,BDI,2019,205.9962
