Entity,Code,Year,cereals_kcal,roots_kcal,pulses_kcal,oilcrops_kcal,fruit_kcal,vegetables_kcal,other_foods_kcal
0 to 1 ha,,2010,710000000000,57000000000,4000000000,2000000000,7000000000,11000000000,10000000000
1 to 2 ha,,2010,1004000000000,58000000000,11000000000,2000000000,7000000000,9000000000,9000000000
10 to 20 ha,,2010,176000000000,34000000000,3000000000,3000000000,5000000000,7000000000,19000000000
100 to 200 ha,,2010,704000000000,39000000000,0,5000000000,2000000000,28000000000,277000000000
2 to 5 ha,,2010,685000000000,68000000000,7000000000,5000000000,12000000000,10000000000,14000000000
20 to 50 ha,,2010,208000000000,24000000000,1000000000,4000000000,3000000000,15000000000,63000000000
200 to 500 ha,,2010,184000000000,8000000000,0,4000000000,0,4000000000,44000000000
5 to 10 ha,,2010,540000000000,45000000000,4000000000,4000000000,7000000000,6000000000,15000000000
50 to 100 ha,,2010,227000000000,24000000000,0,3000000000,1000000000,22000000000,99000000000
500 to 1000 ha,,2010,500000000000,25000000000,0,7000000000,0,4000000000,180000000000
> 1000 ha,,2010,199000000000,10000000000,0,7000000000,1000000000,8000000000,73000000000
