Entity,Code,Year,Fossil fuels (% equivalent primary energy)
Canada,CAN,1965,74.835205
Canada,CAN,1970,74.81745
Canada,CAN,1980,68.48065
Canada,CAN,1990,63.685005
Canada,CAN,2000,64.6082
Canada,CAN,2010,65.8017
Canada,CAN,2022,63.860355
France,FRA,1965,89.22067
France,FRA,1970,89.563896
France,FRA,1980,83.35257
France,FRA,1990,60.24618
France,FRA,2000,55.343914
France,FRA,2010,53.70638
France,FRA,2022,53.73286
Germany,DEU,1965,98.37432
Germany,DEU,1970,97.97257
Germany,DEU,1980,94.80099
Germany,DEU,1990,88.3421
Germany,DEU,2000,85.04574
Germany,DEU,2010,81.47665
Germany,DEU,2022,76.20103
Italy,ITA,1965,84.527466
Italy,ITA,1970,89.94921
Italy,ITA,1980,91.19705
Italy,ITA,1990,94.456
Italy,ITA,2000,92.84436
Italy,ITA,2010,88.56919
Italy,ITA,2022,83.40124
Japan,JPN,1965,87.66102
Japan,JPN,1970,92.76622
Japan,JPN,1980,88.30955
Japan,JPN,1990,83.81502
Japan,JPN,2000,80.666885
Japan,JPN,2010,81.0955
Japan,JPN,2022,84.872185
United Kingdom,GBR,1965,97.55708
United Kingdom,GBR,1970,96.58091
United Kingdom,GBR,1980,95.09705
United Kingdom,GBR,1990,91.8823
United Kingdom,GBR,2000,89.806725
United Kingdom,GBR,2010,89.6598
United Kingdom,GBR,2022,74.78637
United States,USA,1965,95.5555
United States,USA,1970,95.24147
United States,USA,1980,91.96644
United States,USA,1990,87.65364
United States,USA,2000,87.48994
United States,USA,2010,85.44166
United States,USA,2022,81.05701
