Entity,Code,Year,Children that died before five years age per woman
Cote d'Ivoire,CIV,1960,2.4478118
Cote d'Ivoire,CIV,1980,1.2835625
Cote d'Ivoire,CIV,2000,0.83105147
Cote d'Ivoire,CIV,2021,0.3304016
Eswatini,SWZ,1960,1.4107919
Eswatini,SWZ,1980,0.74552774
Eswatini,SWZ,2000,0.4485294
Eswatini,SWZ,2021,0.14945033
Ethiopia,ETH,1980,1.755816
Ethiopia,ETH,2000,0.9214566
Ethiopia,ETH,2021,0.19469357
Iceland,ISL,1838,1.8701136
Iceland,ISL,1860,2.545728
Iceland,ISL,1880,1.0235565
Iceland,ISL,1900,0.686256
Iceland,ISL,1920,0.5241528
Iceland,ISL,1940,0.1399185
Iceland,ISL,1960,0.09150098
Iceland,ISL,1980,0.023930669
Iceland,ISL,2000,0.008322319
Iceland,ISL,2021,0.004567739
Laos,LAO,1960,1.582199
Laos,LAO,1980,1.305094
Laos,LAO,2000,0.472031
Laos,LAO,2021,0.10610902
Lithuania,LTU,1960,0.12762623
Lithuania,LTU,1980,0.04082979
Lithuania,LTU,2000,0.014850729
Lithuania,LTU,2021,0.0053674625
North Macedonia,MKD,1960,0.7401233
North Macedonia,MKD,2000,0.029692115
North Macedonia,MKD,2021,0.0072399452
Saint Lucia,LCA,1960,1.1431203
Saint Lucia,LCA,1980,0.1538949
Saint Lucia,LCA,2000,0.040526163
Saint Lucia,LCA,2021,0.03472407
