Entity,Code,Year,"3.b.1 - Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) (%) - SH_ACS_HPV"
Cameroon,CMR,2021,5
Finland,FIN,2016,64
Finland,FIN,2018,60
Georgia,GEO,2020,22
Georgia,GEO,2021,12
Ireland,IRL,2012,89
Ireland,IRL,2014,87
Ireland,IRL,2016,75
Ireland,IRL,2018,62
Ireland,IRL,2020,77
Ireland,IRL,2021,71
Kenya,KEN,2020,16
Kenya,KEN,2021,44
Switzerland,CHE,2010,20
Switzerland,CHE,2012,51
Switzerland,CHE,2014,56
Switzerland,CHE,2016,56
Switzerland,CHE,2018,59
Switzerland,CHE,2020,63
Switzerland,CHE,2021,71
