Entity,Code,Year,Very important in life: Work,Rather important in life: Work,Not very important in life: Work,Not at all important in life: Work,Don't know: Important in life: Work,No answer: Important in life: Work
Bolivia,BOL,2022,76.87469,21.48041,1.209482,0.4354137,0.0,0.0
Brazil,BRA,2022,61.14975,35.08047,2.06579,1.479273,0.1708002,0.0539142
China,CHN,2022,44.50033,43.92936,8.70973,2.462708,0.0,0.3978692
Egypt,EGY,2022,73.58334,13.33333,7.833333,4.916667,0.25,0.0833333
France,FRA,2022,60.79247,32.94035,2.979692,2.823233,0.4642598,0.0
Germany,DEU,2022,44.61129,40.66197,6.592955,5.554708,0.4250472,2.15403
Japan,JPN,2022,38.28529,41.75905,12.63858,3.769402,1.995565,1.552106
Mexico,MEX,2022,79.63904,12.56899,4.832459,2.915719,0.0437977,0.0
Morocco,MAR,2022,82.66666,13.16667,3.333333,0.8333334,0.0,0.0
Russia,RUS,2022,46.16991,31.46876,11.62727,10.1563,0.5344317,0.0433323
Ukraine,UKR,2022,49.5848,31.32926,9.441507,7.440825,1.26419,0.939419
United Kingdom,GBR,2022,40.98513,34.3576,10.23261,13.54465,0.6074657,0.2725388
United States,USA,2022,39.4364,40.26381,11.37743,8.245441,0.0,0.6769175
