Entity,Code,Year,Inbound arrivals (tourists) per 1000 people
Bermuda,BMU,1995,6505.7324
Bermuda,BMU,2000,5408.047
Bermuda,BMU,2005,4287.075
Bermuda,BMU,2010,3655.5005
Bermuda,BMU,2015,3482.9414
Bermuda,BMU,2021,1124.3829
Jordan,JOR,1995,241.12865
Jordan,JOR,2000,312.48938
Jordan,JOR,2005,526.0154
Jordan,JOR,2010,606.9601
Jordan,JOR,2015,396.1345
Jordan,JOR,2021,180.47614
Rwanda,RWA,2000,12.823684
Rwanda,RWA,2010,58.6864
Rwanda,RWA,2015,104.52666
Rwanda,RWA,2021,35.656208
Tuvalu,TUV,1995,93.681694
Tuvalu,TUV,2000,113.84807
Tuvalu,TUV,2005,110.741974
Tuvalu,TUV,2010,160.83255
Tuvalu,TUV,2015,220.26431
Tuvalu,TUV,2021,3.562205
