Entity,Code,Year,Share of the daily caloric intake that comes from protein,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,10.098265,,1360677453.0,
Albania,ALB,2020,13.641926,13256.125,2866850.0,
Angola,AGO,2020,8.006695,6032.275,33428490.0,
Argentina,ARG,2020,13.689634,19685.217,45036032.0,
Asia,,2020,11.401999,,4663086623.0,
Australia,AUS,2020,13.428404,48747.85,25670052.0,
Bahrain,BHR,2020,10.895523,47847.84,1477478.0,
Brazil,BRA,2020,11.132516,14021.958,213196304.0,
Chile,CHL,2020,11.727331,23017.69,19300318.0,
China,CHN,2020,12.759569,16296.779,1424929792.0,
Costa Rica,CRI,2020,11.156993,19824.348,5123107.0,
Czechia,CZE,2020,10.877214,38639.98,10530951.0,
Democratic Republic of Congo,COD,2020,5.637506,1044.0712,92853168.0,
Ecuador,ECU,2020,10.005625,10356.975,17588596.0,
Ethiopia,ETH,2020,12.317408,2253.2358,117190920.0,
Europe,,2020,12.318102,,747462669.0,
Finland,FIN,2020,14.020815,47443.902,5529468.0,
Germany,DEU,2020,11.674751,51840.33,83328992.0,
High-income countries,,2020,12.284294,47614.09,1218093003.0,
Hong Kong,HKG,2020,17.487967,55888.688,7500955.0,
Iceland,ISL,2020,15.485105,52174.574,366682.0,
Indonesia,IDN,2020,9.41587,11515.74,271857984.0,
Ireland,IRL,2020,11.971999,91099.75,4946123.0,
Israel,ISR,2020,13.9075575,39351.895,8757487.0,
Italy,ITA,2020,11.865282,39065.28,59500576.0,
Japan,JPN,2020,13.18701,39935.465,125244760.0,
Lithuania,LTU,2020,14.625646,37166.41,2820269.0,
Lower-middle-income countries,,2020,10.338426,6930.9463,3369707355.0,
Luxembourg,LUX,2020,12.536058,111751.31,630401.0,
Macao,MAC,2020,12.947436,55158.71,676287.0,
Maldives,MDV,2020,14.195034,13419.335,514451.0,
Mali,MLI,2020,10.513032,2123.8281,21224042.0,
Mongolia,MNG,2020,14.756757,11666.779,3294340.0,
Morocco,MAR,2020,11.831842,7545.995,36688768.0,
Mozambique,MOZ,2020,8.6328125,1232.9856,31178242.0,
Myanmar,MMR,2020,13.522815,4947.0938,53423200.0,
Nauru,NRU,2020,12.360727,11958.172,12339.0,
Nigeria,NGA,2020,9.10862,4865.087,208327408.0,
North America,,2020,11.752981,,594263186.0,
Norway,NOR,2020,13.742311,63548.0,5379836.0,
Oceania,,2020,12.668599,,43933757.0,
Pakistan,PAK,2020,11.096355,5004.352,227196736.0,
Peru,PER,2020,12.89592,11176.919,33304768.0,
Portugal,PRT,2020,13.356413,32011.324,10298186.0,
Romania,ROU,2020,11.680044,29062.473,19442040.0,
Slovakia,SVK,2020,9.660453,30867.973,5456681.0,
South America,,2020,11.329498,,431530105.0,
South Korea,KOR,2020,11.3970375,42396.76,51844688.0,
Switzerland,CHE,2020,11.526919,68670.24,8638609.0,
Tanzania,TZA,2020,10.033417,2551.2063,61704520.0,
Thailand,THA,2020,9.001751,16848.584,71475664.0,
United Arab Emirates,ARE,2020,10.93238,67668.29,9287286.0,
Upper-middle-income countries,,2020,12.170859,17017.123,2541463877.0,
World,OWID_WRL,2020,11.344063,16175.776,7840952832.0,
