Entity,Code,Year,dem_culture_eiu
Cyprus,CYP,2006,6.25
Cyprus,CYP,2008,7.5
Cyprus,CYP,2010,5.63
Cyprus,CYP,2012,5.63
Cyprus,CYP,2014,5.63
Cyprus,CYP,2016,6.88
Cyprus,CYP,2018,6.88
Cyprus,CYP,2020,7.5
Cyprus,CYP,2022,6.88
Poland,POL,2006,5.63
Poland,POL,2008,5.63
Poland,POL,2010,4.38
Poland,POL,2012,4.38
Poland,POL,2014,6.25
Poland,POL,2016,4.38
Poland,POL,2018,4.38
Poland,POL,2020,5.63
Poland,POL,2022,6.25
Portugal,PRT,2006,7.5
Portugal,PRT,2008,7.5
Portugal,PRT,2010,7.5
Portugal,PRT,2012,7.5
Portugal,PRT,2014,6.88
Portugal,PRT,2016,6.88
Portugal,PRT,2018,6.88
Portugal,PRT,2020,7.5
Portugal,PRT,2022,6.88
