Entity,Code,Year,"Deaths that are from all causes attributed to air pollution, in both sexes aged all ages"
Portugal,PRT,1990,4584.4404
Portugal,PRT,1995,4207.2656
Portugal,PRT,2000,4332.0977
Portugal,PRT,2005,3780.7883
Portugal,PRT,2010,3061.6477
Portugal,PRT,2015,2514.229
Portugal,PRT,2019,2410.8008
Uganda,UGA,1990,24131.793
Uganda,UGA,1995,27844.84
Uganda,UGA,2000,30157.15
Uganda,UGA,2005,29743.562
Uganda,UGA,2010,28041.03
Uganda,UGA,2015,28976.082
Uganda,UGA,2019,27677.447
United Arab Emirates,ARE,1990,602.3261
United Arab Emirates,ARE,1995,810.4868
United Arab Emirates,ARE,2000,991.3874
United Arab Emirates,ARE,2005,1187.3236
United Arab Emirates,ARE,2010,1635.1896
United Arab Emirates,ARE,2015,2487.2715
United Arab Emirates,ARE,2019,3360.6897
