Entity,Code,Year,Deaths - Neoplasms - Sex: Both - Age: All Ages (Number)
Norway,NOR,1990,10388
Norway,NOR,1995,10809
Norway,NOR,2000,11208
Norway,NOR,2005,11335
Norway,NOR,2010,11956
Norway,NOR,2015,12264
Norway,NOR,2019,12675
Slovenia,SVN,1990,4139
Slovenia,SVN,1995,4466
Slovenia,SVN,2000,4988
Slovenia,SVN,2005,5311
Slovenia,SVN,2010,5867
Slovenia,SVN,2015,6051
Slovenia,SVN,2019,6336
Sweden,SWE,1990,21672
Sweden,SWE,1995,22399
Sweden,SWE,2000,23245
Sweden,SWE,2005,23460
Sweden,SWE,2010,24014
Sweden,SWE,2015,25078
Sweden,SWE,2019,26480
Tonga,TON,1990,84
Tonga,TON,1995,94
Tonga,TON,2000,111
Tonga,TON,2005,109
Tonga,TON,2010,117
Tonga,TON,2015,123
Tonga,TON,2019,127
