Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent)
East Asia & Pacific (WB),,1990,3.62
East Asia & Pacific (WB),,1995,4.06
East Asia & Pacific (WB),,2000,4.44
East Asia & Pacific (WB),,2005,4.73
East Asia & Pacific (WB),,2010,4.94
East Asia & Pacific (WB),,2015,5.09
East Asia & Pacific (WB),,2019,5.09
Ghana,GHA,1990,1.82
Ghana,GHA,1995,2.03
Ghana,GHA,2000,2.14
Ghana,GHA,2005,2.29
Ghana,GHA,2010,2.62
Ghana,GHA,2015,3.15
Ghana,GHA,2019,3.68
Ukraine,UKR,1990,4.37
Ukraine,UKR,1995,3.73
Ukraine,UKR,2000,3.88
Ukraine,UKR,2005,3.68
Ukraine,UKR,2010,4.14
Ukraine,UKR,2015,3.66
Ukraine,UKR,2019,3.75
