Entity,Code,Year,Renewables (TWh growth - equivalent)
Australia,AUS,1966,-1.057621
Australia,AUS,1970,4.331917
Australia,AUS,1980,-2.4101906
Australia,AUS,1990,1.3345337
Australia,AUS,2000,0.055419922
Australia,AUS,2010,5.8951073
Australia,AUS,2022,34.753387
China,CHN,1966,1.1499939
China,CHN,1970,2.2999878
China,CHN,1980,28.579987
China,CHN,1990,24.842438
China,CHN,2000,76.791565
China,CHN,2010,329.1516
China,CHN,2022,561.459
France,FRA,1966,16.99797
France,FRA,1970,12.025375
France,FRA,1980,9.147705
France,FRA,1990,21.6053
France,FRA,2000,-17.131317
France,FRA,2010,22.166885
France,FRA,2022,-13.691467
Germany,DEU,1966,3.908512
Germany,DEU,1970,14.233189
Germany,DEU,1980,3.696209
Germany,DEU,1990,-3.5542831
Germany,DEU,2000,26.85147
Germany,DEU,2010,26.112244
Germany,DEU,2022,50.10504
India,IND,1966,2.5090752
India,IND,1970,5.1357727
India,IND,1980,3.763626
India,IND,1990,9.16124
India,IND,2000,-15.145905
India,IND,2010,24.136871
India,IND,2022,127.71661
United States,USA,1966,5.177002
United States,USA,1970,-7.437134
United States,USA,1980,-9.199341
United States,USA,1990,98.17163
United States,USA,2000,-121.01868
United States,USA,2010,59.61035
United States,USA,2022,288.91553
