Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,"Current health expenditure per capita, PPP (current international $)",Population (historical estimates),Continent
Afghanistan,AFG,2000,12.933889,,19542986.0,
Afghanistan,AFG,2019,5.9917326,285.55814,37769496.0,
Africa,,2000,,,818952374.0,
Africa,,2019,,,1327701380.0,
Algeria,DZA,2000,4.1687937,294.7033,30774624.0,
Algeria,DZA,2019,2.3451486,750.4487,42705372.0,
Argentina,ARG,2000,1.9675341,1067.8286,37070772.0,
Argentina,ARG,2019,0.85804904,2198.8804,44745516.0,
Armenia,ARM,2000,3.0656433,111.539314,3168525.0,
Armenia,ARM,2019,1.182596,1616.1779,2820604.0,
Asia,,2000,,,3735089775.0,
Asia,,2019,,,4627738749.0,
Bahamas,BHS,2000,1.6299477,1054.5833,325033.0,
Bahamas,BHS,2019,2.3419843,2227.642,404563.0,
Belarus,BLR,2000,1.2762449,320.8687,10256489.0,
Belarus,BLR,2019,0.31318608,1198.6211,9673971.0,
Belize,BLZ,2000,2.360902,219.25671,240420.0,
Belize,BLZ,2019,1.229841,445.71802,389103.0,
Brazil,BRA,2000,3.4730287,755.1784,175873712.0,
Brazil,BRA,2019,1.494002,1497.8147,211782880.0,
Canada,CAN,2000,0.62304556,2429.6057,30683316.0,
Canada,CAN,2019,0.51754606,5520.6514,37522584.0,
China,CHN,2000,3.6680393,128.20192,1264099072.0,
China,CHN,2019,0.7979075,880.1913,1421864064.0,
Democratic Republic of Congo,COD,2000,16.008343,6.9315886,48616328.0,
Democratic Republic of Congo,COD,2019,8.4404125,40.61374,89906896.0,
Dominica,DMA,2000,1.6928841,346.76785,68365.0,
Dominica,DMA,2019,3.5175667,675.37415,71446.0,
Equatorial Guinea,GNQ,2000,15.55022,182.89835,684986.0,
Equatorial Guinea,GNQ,2019,8.188848,607.4327,1553037.0,
Eritrea,ERI,2000,8.54875,72.85006,2392888.0,
Eritrea,ERI,2019,4.0583153,81.84661,3498819.0,
Estonia,EST,2000,1.102102,485.22485,1396881.0,
Estonia,EST,2019,0.22911541,2616.814,1327039.0,
Eswatini,SWZ,2000,11.225303,217.65804,1030504.0,
Eswatini,SWZ,2019,5.6902075,610.494,1169620.0,
Ethiopia,ETH,2000,14.046809,21.06814,67031872.0,
Ethiopia,ETH,2019,5.085436,75.11409,114120592.0,
Europe,,2000,1.0501094,,727917165.0,
Europe,,2019,0.4738411,,747418251.0,
Fiji,FJI,2000,2.2583244,216.50066,832516.0,
Fiji,FJI,2019,2.694037,545.3103,918472.0,
Gabon,GAB,2000,8.44801,402.4528,1272941.0,
Gabon,GAB,2019,4.3198805,432.18716,2242788.0,
Germany,DEU,2000,0.5354632,2692.238,81551680.0,
Germany,DEU,2019,0.3728526,6738.6704,83148144.0,
Guyana,GUY,2000,4.6600537,160.96606,759059.0,
Guyana,GUY,2019,2.9432092,673.5684,798761.0,
India,IND,2000,9.163371,86.04083,1059633664.0,
India,IND,2019,3.4329019,211.00223,1383112064.0,
Indonesia,IDN,2000,5.2226477,95.60731,214072416.0,
Indonesia,IDN,2019,2.3750138,358.2896,269582880.0,
Iran,IRN,2000,3.60813,499.14764,65544380.0,
Iran,IRN,2019,1.3494952,868.18445,86564208.0,
Italy,ITA,2000,0.5570661,2050.0366,56966400.0,
Italy,ITA,2019,0.29948074,3998.012,59727936.0,
Japan,JPN,2000,0.45053738,1908.96,126803864.0,
Japan,JPN,2019,0.24680981,4587.0347,125791680.0,
Lesotho,LSO,2000,10.749716,67.33602,1998632.0,
Lesotho,LSO,2019,7.7187095,313.6058,2225710.0,
Madagascar,MDG,2000,10.526027,57.91961,16216432.0,
Madagascar,MDG,2019,6.6052713,65.232635,27533134.0,
Malta,MLT,2000,0.76155895,1211.1573,399212.0,
Malta,MLT,2019,0.61328155,4039.615,503646.0,
Morocco,MAR,2000,5.2351146,143.94247,28554420.0,
Morocco,MAR,2019,1.9520867,424.50296,36304408.0,
Myanmar,MMR,2000,8.926219,19.54582,45538340.0,
Myanmar,MMR,2019,4.4770675,226.83073,53040212.0,
Netherlands,NLD,2000,0.6189008,2466.85,15899138.0,
Netherlands,NLD,2019,0.4049508,6248.152,17363260.0,
Niger,NER,2000,22.850826,36.32669,11622673.0,
Niger,NER,2019,11.702052,72.48323,23443400.0,
Nigeria,NGA,2000,18.243053,77.40005,122851984.0,
Nigeria,NGA,2019,11.680171,162.31247,203304496.0,
North America,,2000,0.8283968,,486364446.0,
North America,,2019,0.632825,,590497015.0,
Norway,NOR,2000,0.48587623,2857.7734,4491204.0,
Norway,NOR,2019,0.23508914,7217.3867,5348285.0,
Oceania,,2000,3.072054,,31223133.0,
Oceania,,2019,2.1083927,,43278474.0,
Pakistan,PAK,2000,10.807917,74.68946,154369920.0,
Pakistan,PAK,2019,6.7495565,165.55055,223293280.0,
Panama,PAN,2000,2.6009963,587.761,3001738.0,
Panama,PAN,2019,1.4845917,2490.9478,4232538.0,
Poland,POL,2000,0.9306692,564.5071,38504432.0,
Poland,POL,2019,0.44212064,2206.5356,38493600.0,
Romania,ROU,2000,2.145315,246.10161,21919882.0,
Romania,ROU,2019,0.701908,1906.586,19524212.0,
Russia,RUS,2000,1.9368601,367.58203,146844848.0,
Russia,RUS,2019,0.5837643,1704.0397,145742288.0,
San Marino,SMR,2000,0.5600693,2827.8936,26845.0,
San Marino,SMR,2019,0.18548442,4057.1619,34203.0,
Solomon Islands,SLB,2000,3.0765362,77.14681,429986.0,
Solomon Islands,SLB,2019,2.0024953,131.09265,675000.0,
South Africa,ZAF,2000,7.1005263,629.90076,46813272.0,
South Africa,ZAF,2019,3.4338288,1187.3295,58087060.0,
South America,,2000,,,349634344.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2000,18.159489,,6114443.0,
South Sudan,SSD,2019,9.868964,62.992046,10447677.0,
Suriname,SUR,2000,3.13106,494.3825,479011.0,
Suriname,SUR,2019,1.8259999,1680.192,600305.0,
Syria,SYR,2000,2.301662,144.8544,16307659.0,
Syria,SYR,2019,2.262392,,20098252.0,
Togo,TGO,2000,12.000753,36.65239,5008043.0,
Togo,TGO,2019,6.6646004,125.55871,8243093.0,
Tunisia,TUN,2000,2.996321,301.8357,9893326.0,
Tunisia,TUN,2019,1.6862037,789.05457,12049319.0,
Turkey,TUR,2000,3.7881088,443.08084,64113548.0,
Turkey,TUR,2019,1.0066369,1186.7393,83481688.0,
Turkmenistan,TKM,2000,6.9828057,174.61722,4569135.0,
Turkmenistan,TKM,2019,4.2798543,1063.8435,6158424.0,
United States,USA,2000,0.8448663,4543.436,282398560.0,
United States,USA,2019,0.6439842,10921.013,334319680.0,
Uzbekistan,UZB,2000,6.0500126,159.16203,24925558.0,
Uzbekistan,UZB,2019,1.5424616,418.01346,32976946.0,
Vanuatu,VUT,2000,2.884647,74.44517,192087.0,
Vanuatu,VUT,2019,2.4671447,110.6409,304414.0,
