Entity,Code,Year,Cumulative CO₂ emissions from coal
Estonia,EST,1830,185.0
Estonia,EST,1850,1888.0
Estonia,EST,1900,6449403.0
Estonia,EST,1950,94512310.0
Estonia,EST,2000,922987840.0
Estonia,EST,2022,1174806300.0
Kenya,KEN,1950,117248.0
Kenya,KEN,2000,9169995.0
Kenya,KEN,2022,31236192.0
Lower-middle-income countries,,1830,4197.0
Lower-middle-income countries,,1850,42816.0
Lower-middle-income countries,,1900,238697620.0
Lower-middle-income countries,,1950,4182859000.0
Lower-middle-income countries,,2000,30761552000.0
Lower-middle-income countries,,2022,68586280000.0
Montenegro,MNE,1900,60220.0
Montenegro,MNE,1950,4069710.0
Montenegro,MNE,2000,47530692.0
Montenegro,MNE,2022,76965410.0
Pakistan,PAK,1950,5464429.0
Pakistan,PAK,2000,269189600.0
Pakistan,PAK,2022,846036860.0
Wallis and Futuna,WLF,2000,0.0
Wallis and Futuna,WLF,2022,0.0
