Entity,Code,Year,Cereals - Excluding Beer | 00002905 || Food | 005142 || tonnes,Cereals - Excluding Beer | 00002905 || Feed | 005521 || tonnes,Cereals - Excluding Beer | 00002905 || Other uses | 005154 || tonnes,Cereals - Excluding Beer | 00002905 || Processing | 005131 || tonnes
Bangladesh,BGD,2020,45270000,9208000.0,9841000.0,14000.0
Brazil,BRA,2020,26344000,56965000.0,2000.0,3541000.0
Canada,CAN,2020,4506000,23616000.0,2708000.0,1012000.0
Chad,TCD,2020,2548000,74000.0,,6000.0
China,CHN,2020,294484000,229613000.0,71670000.0,11235000.0
Germany,DEU,2020,7789000,24963000.0,5568000.0,2260000.0
India,IND,2020,258957000,21519000.0,33000.0,1713000.0
Malawi,MWI,2020,3131000,188000.0,0.0,72000.0
United Kingdom,GBR,2020,8738000,12862000.0,1344000.0,2594000.0
United States,USA,2020,37652000,149463000.0,131753000.0,36355000.0
World,OWID_WRL,2020,1356510000,990231000.0,293941000.0,122246000.0
