Entity,Code,Year,"Homicide rate per 100,000 population - Male - All ages","Homicide rate per 100,000 population - Female - All ages",Continent
Albania,ALB,2021,3.7869358,0.8398921,
Algeria,DZA,2021,2.3780692,0.7379827,
Antigua and Barbuda,ATG,2021,24.712992,10.265149,
Argentina,ARG,2021,7.9634733,1.3472174,
Australia,AUS,2021,1.0957628,0.37538284,
Austria,AUT,2021,0.56933206,0.88281286,
Azerbaijan,AZE,2021,2.5151162,1.3208866,
Bahamas,BHS,2021,57.940548,2.8185158,
Barbados,BRB,2021,19.283041,4.099313,
Belgium,BEL,2021,1.9878479,0.18718387,
Belize,BLZ,2021,56.65145,5.5331855,
Bolivia,BOL,2021,3.7632785,2.9065301,
Bosnia and Herzegovina,BIH,2021,1.5526335,0.42148983,
Chile,CHL,2021,6.635644,0.6722235,
Costa Rica,CRI,2021,20.630222,2.1745749,
Croatia,HRV,2021,0.96112573,0.67201495,
Czechia,CZE,2021,0.38636678,0.50615615,
El Salvador,SLV,2021,33.4587,4.021194,
Estonia,EST,2021,3.4911187,0.5726307,
Guyana,GUY,2021,30.99314,2.190146,
Hong Kong,HKG,2021,0.31823164,0.27241364,
Iceland,ISL,2021,0.52680796,0.55397826,
Ireland,IRL,2021,0.60706156,0.27826285,
Italy,ITA,2021,0.6372679,0.3918718,
Jamaica,JAM,2021,95.584206,9.335017,
Japan,JPN,2021,0.24930836,0.209228,
Kenya,KEN,2021,7.9530625,2.6415799,
Kosovo,OWID_KOS,2021,3.621369,0.35988763,
Latvia,LVA,2021,2.4193604,3.57881,
Liechtenstein,LIE,2021,5.167024,5.079752,
Lithuania,LTU,2021,3.8233974,1.4875791,
Namibia,NAM,2021,18.506903,6.799164,
Paraguay,PRY,2021,13.6987705,1.9170094,
Qatar,QAT,2021,0.255928,0.5445433,
Russia,RUS,2021,10.8008795,3.30459,
Singapore,SGP,2021,0.12872103,0.070582464,
Spain,ESP,2021,0.8293327,0.40057462,
