Entity,Code,Year,"15.a.1 - Total official development assistance for biodiversity, by recipient countries (millions of constant 2021 United States dollars) - DC_ODA_BDVL"
Africa (UN),,2002,370530000.0
Africa (UN),,2005,633540000.0
Africa (UN),,2010,1372330000.0
Africa (UN),,2015,2848110000.0
Africa (UN),,2021,2310850000.0
Asia (UN),,2002,990130000.0
Asia (UN),,2005,1424290000.0
Asia (UN),,2010,1611760000.0
Asia (UN),,2015,2184560000.0
Asia (UN),,2021,1452000000.0
Europe (UN),,2002,14540000.0
Europe (UN),,2005,8020000.0
Europe (UN),,2010,76460000.0
Europe (UN),,2015,1044280000.0
Europe (UN),,2021,187030000.0
Latin America and the Caribbean (UN),,2002,225910000.0
Latin America and the Caribbean (UN),,2005,315040000.0
Latin America and the Caribbean (UN),,2010,1370830000.0
Latin America and the Caribbean (UN),,2015,1384430000.0
Latin America and the Caribbean (UN),,2021,2189490000.0
Oceania (UN),,2002,1160000.0
Oceania (UN),,2005,21000000.0
Oceania (UN),,2010,128400000.0
Oceania (UN),,2015,51610000.0
Oceania (UN),,2021,67210000.0
