Entity,Code,Year,Deaths - Diarrheal diseases - Sex: Both - Age: Under 5 (Number)
Eritrea,ERI,1990,4263
Eritrea,ERI,1995,3567
Eritrea,ERI,2000,2762
Eritrea,ERI,2005,3042
Eritrea,ERI,2010,2734
Eritrea,ERI,2015,2261
Eritrea,ERI,2019,1849
Region of the Americas (WHO),,1990,98174
Region of the Americas (WHO),,1995,64901
Region of the Americas (WHO),,2000,38526
Region of the Americas (WHO),,2005,25357
Region of the Americas (WHO),,2010,16804
Region of the Americas (WHO),,2015,11633
Region of the Americas (WHO),,2019,9516
